eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
50.0,1000,0.0,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,
,2048,,20,50.0,1,0.11499999999999999,102,,,,,,,
50.0,3000,0.0,,,,,,1,0.009200024884194136,-0.37324023246765137,0.001,0.006576381158083677,1.0,0.030974358320236206
50.0,4000,0.0,,,,,,,,,,,,
,4096,,20,50.0,2,0.10246913580246912,204,,,,,,,
50.0,5000,0.10000000149011612,,,,,,2,0.003317792992311297,0.10252326726913452,0.001,0.006430352106690407,1.0,0.03281235322356224
50.0,6000,0.10000000149011612,,,,,,,,,,,,
,6144,,20,50.0,3,0.10099999999999998,306,,,,,,,
50.0,7000,0.0,,,,,,3,0.0014372887337231078,0.09766024351119995,0.001,0.006562049500644207,1.0,0.028053076937794685
50.0,8000,0.0,,,,,,,,,,,,
,8192,,20,50.0,4,0.096,408,,,,,,,
50.0,9000,0.0,,,,,,4,0.001397905462727067,0.10471981763839722,0.001,0.0074574607424438,1.0,0.02668875642120838
50.0,10000,0.0,,,,,,,,,,,,
,10240,,20,50.0,5,0.10699999999999997,510,,,,,,,
50.0,11000,0.10000000149011612,,,,,,5,0.0016227916690695564,0.15306216478347778,0.001,0.008014105260372162,1.0,0.03146257624030113
50.0,12000,0.10000000149011612,,,,,,,,,,,,
,12288,,20,50.0,6,0.11600000000000002,613,,,,,,,
50.0,13000,0.10000000149011612,,,,,,6,0.001438996222714195,0.26692885160446167,0.001,0.006047532893717289,1.0,0.03696665167808533
50.0,14000,0.10000000149011612,,,,,,,,,,,,
,14336,,20,50.0,7,0.133,715,,,,,,,
50.0,15000,0.10000000149011612,,,,,,7,0.0016258683608612046,0.22727429866790771,0.001,0.0075500281527638435,1.0,0.028675680980086327
50.0,16000,0.10000000149011612,,,,,,,,,,,,
,16384,,20,50.0,8,0.147,817,,,,,,,
50.0,17000,0.10000000149011612,,,,,,8,0.001521868188501685,0.32568269968032837,0.001,0.0073072114028036594,1.0,0.02416297420859337
50.0,18000,0.10000000149011612,,,,,,,,,,,,
,18432,,20,50.0,9,0.147,919,,,,,,,
50.0,19000,0.10000000149011612,,,,,,9,0.0017592936994333286,0.2522396445274353,0.001,0.008069312199950218,1.0,0.027588505297899246
50.0,20000,0.10000000149011612,,,,,,,,,,,,
,20480,,20,50.0,10,0.147,1021,,,,,,,
