eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
50.0,1000,0.0,,,,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,19,50.0,1,0.11499999999999999,102,,,,,,,,,,
50.0,3000,0.0,,,,,,10,-0.03951563313603401,0.008899736039165874,-0.37324023246765137,0.0003,0.161962890625,0.2,-0.01861488177528372,0.015963929,-5.153725837171078
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,19,50.0,2,0.10123456790123456,205,,,,,,,,,,
50.0,5000,0.0,,,,,,20,0.059892334043979645,0.0036493847863312114,-0.2656877040863037,0.0003,0.14658203125,0.2,-0.015364194178255275,0.01310749,-5.128361071646213
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,19,50.0,3,0.102,309,,,,,,,,,,
50.0,7000,0.0,,,,,,30,-0.01856907084584236,0.0022725782109773718,-0.26286864280700684,0.0003,0.152490234375,0.2,-0.017903692719119135,0.013437867,-5.106445090472699
50.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,19,50.0,4,0.10499999999999998,412,,,,,,,,,,
50.0,9000,0.0,,,,,,40,-0.02591724693775177,0.0015360396544565446,0.10216313600540161,0.0003,0.142236328125,0.2,-0.014359425561269745,0.014480833,-5.073070128262043
50.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,19,50.0,5,0.122,515,,,,,,,,,,
50.0,11000,0.0,,,,,,50,-0.03024781309068203,0.0014246266791815287,0.2988523244857788,0.0003,0.16455078125,0.2,-0.01711937722575385,0.011085574,-5.0420866593718525
50.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,19,50.0,6,0.132,618,,,,,,,,,,
50.0,13000,0.0,,,,,,60,-0.009800572879612446,0.0011875192894876818,0.38224679231643677,0.0003,0.11943359375,0.2,-0.01200783543754369,0.009694628,-5.012896074354648
50.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,19,49.78,7,0.142,722,,,,,,,,,,
50.0,15000,0.0,,,,,,70,-0.030800621956586838,0.0013748393408604897,0.49630558490753174,0.0003,0.148974609375,0.2,-0.017286034257267602,0.013204062,-4.97440552264452
50.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,19,50.0,8,0.14200000000000002,825,,,,,,,,,,
