eval/mean_ep_length,time/total_timesteps,eval/mean_reward,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/explained_variance
50.0,41000,0.30000000447034836,,,,,,0.01132202,-0.014002795499982313,0.139453125,0.0010689497303246753,200,0.0003,-0.01912001147866249,0.2,-4.568185941874981,0.8212055563926697
50.0,42000,0.30000000447034836,,,,,,,,,,,,,,,
50.0,43000,0.30000000447034836,,,,,,,,,,,,,,,
,43008,,0.29599999999999993,19,2198,21,46.92,,,,,,,,,,
50.0,44000,0.30000000447034836,,,,,,0.014679075,-0.0168622549274005,0.19150390625,0.001082781092463847,210,0.0003,0.0015131485415622592,0.2,-4.534824047982693,0.851059690117836
50.0,45000,0.30000000447034836,,,,,,,,,,,,,,,
,45056,,0.30799999999999994,19,2302,22,45.0,,,,,,,,,,
50.0,46000,0.30000000447034836,,,,,,0.011562585,-0.013751901834621095,0.13935546875,0.0013783310518192594,220,0.0003,-0.03345214203000069,0.2,-4.458119325339794,0.7747218757867813
50.0,47000,0.30000000447034836,,,,,,,,,,,,,,,
,47104,,0.32599999999999996,19,2405,23,43.87,,,,,,,,,,
50.0,48000,0.30000000447034836,,,,,,0.013843382,-0.01019638204597868,0.16162109375,0.0011783611879764067,230,0.0003,0.008671813644468784,0.2,-4.527895677089691,0.8241194933652878
50.0,49000,0.30000000447034836,,,,,,,,,,,,,,,
,49152,,0.34199999999999986,19,2508,24,43.16,,,,,,,,,,
50.0,50000,0.30000000447034836,,,,,,0.013628483,-0.017436314630322157,0.18505859375,0.001037241541507683,240,0.0003,-0.006741700228303671,0.2,-4.424357169866562,0.8644709289073944
50.0,51000,0.30000000447034836,,,,,,,,,,,,,,,
,51200,,0.3629999999999999,19,2611,25,41.15,,,,,,,,,,
50.0,52000,0.30000000447034836,,,,,,0.013755062,-0.015553348454704973,0.180859375,0.0014353709679198801,250,0.0003,-0.03708904609084129,0.2,-4.326729667186737,0.8021390289068222
50.0,53000,0.30000000447034836,,,,,,,,,,,,,,,
,53248,,0.37899999999999984,19,2714,26,36.63,,,,,,,,,,
50.0,54000,0.30000000447034836,,,,,,0.013807654,-0.01285748035297729,0.160302734375,0.0011570019843020417,260,0.0003,-0.005299673415720463,0.2,-4.208539383858442,0.8580463379621506
50.0,55000,0.30000000447034836,,,,,,,,,,,,,,,
,55296,,0.38599999999999995,19,2816,27,32.08,,,,,,,,,,
50.0,56000,0.30000000447034836,,,,,,0.010486513,-0.01182715478935279,0.123095703125,0.0011173222177603749,270,0.0003,-0.019954219460487366,0.2,-4.073823274672032,0.8775366544723511
50.0,57000,0.30000000447034836,,,,,,,,,,,,,,,
,57344,,0.3879999999999999,19,2918,28,29.18,,,,,,,,,,
50.0,58000,0.30000000447034836,,,,,,0.010931634,-0.012491165625397116,0.12255859375,0.0007779946054142783,280,0.0003,-0.006017010193318129,0.2,-4.0762932695448395,0.9007533192634583
50.0,59000,0.30000000447034836,,,,,,,,,,,,,,,
,59392,,0.3949999999999999,19,3019,29,25.89,,,,,,,,,,
4.0,60000,0.4000000059604645,,,,,,0.012790497,-0.014044635143363848,0.16337890625,0.0009048910681485722,290,0.0003,-0.022099247202277184,0.2,-3.97387660369277,0.8884369134902954
4.0,61000,0.4000000059604645,,,,,,,,,,,,,,,
,61440,,0.3919999999999999,19,3102,30,23.75,,,,,,,,,,
4.0,62000,0.4000000059604645,,,,,,0.012545743,-0.014872289917548187,0.18798828125,0.0008689601243531797,300,0.0003,-0.02822655439376831,0.2,-3.8685671888291835,0.8943691328167915
4.0,63000,0.4000000059604645,,,,,,,,,,,,,,,
,63488,,0.40199999999999997,19,3184,31,20.06,,,,,,,,,,
4.0,64000,0.4000000059604645,,,,,,0.014849773,-0.02045409429993015,0.1982421875,0.0004750958449676546,310,0.0003,-0.022983368486166,0.2,-3.6180463045835496,0.9396700263023376
4.0,65000,0.4000000059604645,,,,,,,,,,,,,,,
,65536,,0.3989999999999999,20,3265,32,18.6,,,,,,,,,,
4.0,66000,0.4000000059604645,,,,,,0.01260441,-0.0169720282414346,0.19677734375,0.000671751005029364,320,0.0003,-0.002864978276193142,0.2,-3.467088047415018,0.9248981028795242
4.0,67000,0.4000000059604645,,,,,,,,,,,,,,,
,67584,,0.40299999999999997,20,3346,33,16.98,,,,,,,,,,
4.0,68000,0.4000000059604645,,,,,,0.02260427,-0.020204260721220633,0.3341796875,0.0005882245578391121,330,0.0003,-0.038476742804050446,0.2,-3.3207379512488844,0.927128478884697
4.0,69000,0.4000000059604645,,,,,,,,,,,,,,,
,69632,,0.4019999999999999,20,3426,34,13.56,,,,,,,,,,
4.0,70000,0.4000000059604645,,,,,,0.018567223,-0.017549090905231424,0.260009765625,0.000279065078802887,340,0.0003,-0.015217564068734646,0.2,-3.046957319229841,0.9645042829215527
4.0,71000,0.4000000059604645,,,,,,,,,,,,,,,
