eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/clip_range
0.0,1000,50.0,,,,,,,,,,,,,,,
0.0,2000,50.0,,,,,,,,,,,,,,,
,2048,,0.095,50.0,19,102,1,,,,,,,,,,
0.0,3000,50.0,,,,,,-0.7124937772750854,0.018565536,-0.02010816880792845,10,0.0003,0.165234375,-5.149514247477055,-0.013584603555500507,0.016805204821866936,0.2
0.0,4000,50.0,,,,,,,,,,,,,,,
,4096,,0.08888888888888888,50.0,19,208,2,,,,,,,,,,
0.0,5000,50.0,,,,,,-0.7997926473617554,0.019162185,-0.024251403962261976,20,0.0003,0.219091796875,-5.120218524336815,-0.0009001428261399269,0.00511459316512628,0.2
0.0,6000,50.0,,,,,,,,,,,,,,,
,6144,,0.107,50.0,19,314,3,,,,,,,,,,
0.0,7000,50.0,,,,,,-0.2036229372024536,0.017032577,-0.015608680510194973,30,0.0003,0.1583984375,-5.093282635509968,-0.019187595695257187,0.002498377289157361,0.2
0.0,8000,50.0,,,,,,,,,,,,,,,
,8192,,0.12899999999999998,50.0,19,420,4,,,,,,,,,,
0.0,9000,50.0,,,,,,-0.11987268924713135,0.01723092,-0.018432447465602308,40,0.0003,0.180126953125,-5.068526114523411,0.004790527746081352,0.002465627487617894,0.2
0.0,10000,50.0,,,,,,,,,,,,,,,
,10240,,0.13,50.0,19,526,5,,,,,,,,,,
0.0,11000,50.0,,,,,,0.08689612150192261,0.01161987,-0.01397037716815248,50,0.0003,0.144482421875,-5.025707864761353,-0.05263786017894745,0.001943547179325833,0.2
0.0,12000,50.0,,,,,,,,,,,,,,,
,12288,,0.13099999999999998,50.0,19,632,6,,,,,,,,,,
0.0,13000,50.0,,,,,,0.16002637147903442,0.0150680095,-0.017811624908063095,60,0.0003,0.16708984375,-5.00299669355154,0.01677202619612217,0.0013629677068820456,0.2
0.0,14000,50.0,,,,,,,,,,,,,,,
,14336,,0.13399999999999998,50.0,19,737,7,,,,,,,,,,
0.0,15000,50.0,,,,,,0.3439636826515198,0.011174428,-0.01419880625035148,70,0.0003,0.1388671875,-4.979411706328392,-0.03990357741713524,0.0016264703937849845,0.2
0.0,16000,50.0,,,,,,,,,,,,,,,
,16384,,0.15499999999999997,50.0,19,842,8,,,,,,,,,,
0.0,17000,50.0,,,,,,0.45226597785949707,0.018328633,-0.020319376199040562,80,0.0003,0.193359375,-4.923258677124977,-0.06361702084541321,0.0017715845602651824,0.2
0.0,18000,50.0,,,,,,,,,,,,,,,
,18432,,0.161,50.0,19,948,9,,,,,,,,,,
0.0,19000,50.0,,,,,,0.5809899866580963,0.0141012445,-0.01837999810522888,90,0.0003,0.179248046875,-4.873544517159462,-0.00260463310405612,0.0013762482376478147,0.2
0.0,20000,50.0,,,,,,,,,,,,,,,
,20480,,0.17699999999999996,50.0,19,1053,10,,,,,,,,,,
0.20000000298023224,21000,50.0,,,,,,0.7284347414970398,0.011274666,-0.014265171944862232,100,0.0003,0.1322265625,-4.829609775543213,-0.010050848126411438,0.0008882593088856084,0.2
0.20000000298023224,22000,50.0,,,,,,,,,,,,,,,
,22528,,0.196,50.0,19,1158,11,,,,,,,,,,
0.10000000149011612,23000,50.0,,,,,,0.6247625648975372,0.014635356,-0.016756533898296767,110,0.0003,0.182177734375,-4.791110083460808,0.01077940035611391,0.0016426491049060133,0.2
0.10000000149011612,24000,50.0,,,,,,,,,,,,,,,
,24576,,0.20800000000000002,50.0,19,1264,12,,,,,,,,,,
0.10000000149011612,25000,50.0,,,,,,0.6385099589824677,0.014185516,-0.02041860520548653,120,0.0003,0.165185546875,-4.784617240726948,-0.044362425804138184,0.0013104189350997331,0.2
0.10000000149011612,26000,50.0,,,,,,,,,,,,,,,
,26624,,0.222,50.16,19,1369,13,,,,,,,,,,
0.20000000298023224,27000,50.0,,,,,,0.6191211640834808,0.013235778,-0.020133219828130676,130,0.0003,0.178759765625,-4.723149096965789,-0.009036307223141193,0.0018486864664737368,0.2
0.20000000298023224,28000,50.0,,,,,,,,,,,,,,,
,28672,,0.23200000000000004,49.7,19,1474,14,,,,,,,,,,
0.20000000298023224,29000,50.0,,,,,,0.6379020810127258,0.016306669,-0.020551564139896072,140,0.0003,0.1814453125,-4.698371633887291,0.0038315439596772194,0.001491380924016994,0.2
0.20000000298023224,30000,50.0,,,,,,,,,,,,,,,
,30720,,0.262,49.72,19,1579,15,,,,,,,,,,
0.20000000298023224,31000,50.0,,,,,,0.7946726679801941,0.014125399,-0.020392573904246092,150,0.0003,0.180029296875,-4.596170580387115,-0.0027573765255510807,0.001394908251313609,0.2
0.20000000298023224,32000,50.0,,,,,,,,,,,,,,,
,32768,,0.288,49.84,19,1684,16,,,,,,,,,,
0.20000000298023224,33000,50.0,,,,,,0.8199099153280258,0.014136355,-0.022964994274661876,160,0.0003,0.18095703125,-4.587928572297097,-0.04775306582450867,0.0013820549933370786,0.2
0.20000000298023224,34000,50.0,,,,,,,,,,,,,,,
,34816,,0.303,49.27,19,1788,17,,,,,,,,,,
0.20000000298023224,35000,50.0,,,,,,0.7768207937479019,0.016624803,-0.020897644993965514,170,0.0003,0.21328125,-4.576243545114994,-0.007341795135289431,0.0018003782475716434,0.2
0.20000000298023224,36000,50.0,,,,,,,,,,,,,,,
,36864,,0.309,47.12,19,1893,18,,,,,,,,,,
0.20000000298023224,37000,50.0,,,,,,0.8210553675889969,0.018542603,-0.021882772201206536,180,0.0003,0.210888671875,-4.462136685848236,-0.046773068606853485,0.0011129033988254377,0.2
0.20000000298023224,38000,50.0,,,,,,,,,,,,,,,
