time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
42000,1000.0,0.0,,,,,,,,,,,,,,,
43000,1000.0,0.0,,,,,,,,,,,,,,,
43008,,,1732,1000.0,24,21,0.6906976744186047,,,,,,,,,,
44000,1000.0,0.10000000149011612,,,,,,-0.013710420578718185,-6.323021933436394,0.0003,0.159716796875,0.2,0.0014990782402946935,0.014773893,0.9128280431032181,-0.023767410332220608,210
45000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
45056,,,1812,994.7111111111111,24,22,0.6955555555555556,,,,,,,,,,
46000,1000.0,0.10000000149011612,,,,,,-0.01298234611749649,-6.270106530189514,0.0003,0.180712890625,0.2,0.0017221931893800502,0.01732585,0.7657448351383209,-0.028650027202093042,220
47000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
47104,,,1894,1000.0,24,23,0.7000000000000001,,,,,,,,,,
48000,1000.0,0.0,,,,,,-0.011307981796562672,-6.274339288473129,0.0003,0.160205078125,0.2,0.00047195326869768904,0.01414233,0.8154890984296799,-0.02445799285778776,230
49000,1000.0,0.0,,,,,,,,,,,,,,,
49152,,,1975,1000.0,24,24,0.6918367346938775,,,,,,,,,,
50000,1000.0,0.0,,,,,,-0.029097415506839752,-6.231867913901806,0.0003,0.2216796875,0.2,0.0004582958261607928,0.019743161,0.8366668522357941,-0.026051701075630262,240
51000,1000.0,0.0,,,,,,,,,,,,,,,
51200,,,2056,1000.0,24,25,0.6921568627450981,,,,,,,,,,
52000,1000.0,0.0,,,,,,-0.03066350892186165,-6.262687416374684,0.0003,0.168359375,0.2,0.0008340582163327781,0.015723854,0.9036559462547302,-0.024815732819843107,250
53000,1000.0,0.0,,,,,,,,,,,,,,,
53248,,,2137,1000.0,24,26,0.6905660377358492,,,,,,,,,,
54000,1000.0,0.0,,,,,,-0.058086615055799484,-6.196334877610207,0.0003,0.143408203125,0.2,0.0003993514578723989,0.013316343,0.8898220360279083,-0.023798099288251252,260
55000,1000.0,0.0,,,,,,,,,,,,,,,
55296,,,2219,1000.0,24,27,0.6927272727272729,,,,,,,,,,
56000,1000.0,0.0,,,,,,-0.028939630836248398,-6.2165255263447765,0.0003,0.218359375,0.2,0.0005100215108313933,0.019832142,0.923124685883522,-0.029604919959092514,270
57000,1000.0,0.0,,,,,,,,,,,,,,,
57344,,,2301,1000.0,24,28,0.6894736842105262,,,,,,,,,,
58000,1000.0,0.0,,,,,,-0.023596784099936485,-6.22790525406599,0.0003,0.214892578125,0.2,0.0003904547053934948,0.020364758,0.911856584250927,-0.026411984796868637,280
59000,1000.0,0.0,,,,,,,,,,,,,,,
59392,,,2382,1000.0,24,29,0.6898305084745763,,,,,,,,,,
60000,1000.0,0.10000000149011612,,,,,,-0.017366355285048485,-6.244469384849071,0.0003,0.176611328125,0.2,0.0018814795351318025,0.01729507,0.9054940119385719,-0.027422172142541966,290
61000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
61440,,,2464,1000.0,24,30,0.6901639344262297,,,,,,,,,,
62000,1000.0,0.10000000149011612,,,,,,-0.013070924207568169,-6.212196078896523,0.0003,0.1578125,0.2,0.0013464322800700757,0.014016289,0.849625363945961,-0.02548580232396489,300
63000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
63488,,,2545,1000.0,24,31,0.6904761904761906,,,,,,,,,,
64000,1000.0,0.10000000149011612,,,,,,0.012453250586986542,-6.213463611900806,0.0003,0.183740234375,0.2,0.0005703757881974525,0.015792847,0.8963634297251701,-0.020339899018290454,310
65000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
65536,,,2626,1000.0,24,32,0.6907692307692308,,,,,,,,,,
66000,1000.0,0.10000000149011612,,,,,,-0.028488507494330406,-6.200197175145149,0.0003,0.18125,0.2,0.0003901004978729361,0.015475154,0.9392360225319862,-0.02505498840182554,320
67000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
67584,,,2707,1000.0,24,33,0.6910447761194031,,,,,,,,,,
68000,1000.0,0.0,,,,,,-0.034094445407390594,-6.228172542154789,0.0003,0.2068359375,0.2,0.0012590223424922442,0.018534143,0.8978122547268867,-0.023917044053087012,330
69000,1000.0,0.0,,,,,,,,,,,,,,,
69632,,,2789,1000.0,24,34,0.691304347826087,,,,,,,,,,
70000,1000.0,0.0,,,,,,-0.032297126948833466,-6.122906190156937,0.0003,0.184619140625,0.2,0.0006757739586191747,0.01599126,0.8000202924013138,-0.023350303077313582,340
71000,1000.0,0.0,,,,,,,,,,,,,,,
71680,,,2871,1000.0,24,35,0.6943661971830986,,,,,,,,,,
72000,1000.0,0.0,,,,,,-0.04935099184513092,-6.119271089136601,0.0003,0.205029296875,0.2,0.0006899938252900029,0.018591616,0.8972094431519508,-0.029087827779585497,350
73000,1000.0,0.0,,,,,,,,,,,,,,,
73728,,,2952,1000.0,24,36,0.695890410958904,,,,,,,,,,
74000,1000.0,0.0,,,,,,-0.0017561089480295777,-6.0800655514001845,0.0003,0.1966796875,0.2,0.0010591508796551352,0.016268766,0.6603210866451263,-0.026644490647595376,360
75000,1000.0,0.0,,,,,,,,,,,,,,,
75776,,,3033,996.9868421052631,24,37,0.6986842105263157,,,,,,,,,,
76000,1000.0,0.10000000149011612,,,,,,-0.039615657180547714,-6.000956955552101,0.0003,0.195751953125,0.2,0.0003112422001322557,0.017467603,0.9367531165480614,-0.02707667906943243,370
77000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
77824,,,3114,1000.0,24,38,0.7025974025974026,,,,,,,,,,
78000,1000.0,0.10000000149011612,,,,,,-0.02708061784505844,-6.159452855587006,0.0003,0.19599609375,0.2,0.0005328584880544441,0.015947483,0.9290018156170845,-0.02293786813679617,380
79000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
79872,,,3196,1000.0,24,39,0.7012658227848101,,,,,,,,,,
80000,1000.0,0.10000000149011612,,,,,,-0.0299109797924757,-6.1377393960952755,0.0003,0.171435546875,0.2,0.00022693987211823695,0.0154820625,0.895262748003006,-0.021941607070039025,390
81000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
81920,,,3278,1000.0,24,40,0.7012345679012345,,,,,,,,,,
82000,1000.0,0.10000000149011612,,,,,,-0.04672073945403099,-5.937666967511177,0.0003,0.162353515625,0.2,0.00036074705126338814,0.022431785,0.8697540014982224,-0.02614384969638195,400
83000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
83968,,,3359,1000.0,24,41,0.7012048192771084,,,,,,,,,,
84000,1000.0,0.10000000149011612,,,,,,-0.052413005381822586,-5.874714277684689,0.0003,0.15146484375,0.2,0.0001853411686056461,0.01301104,0.9302192032337189,-0.01911706232349388,410
85000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
86000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
86016,,,3467,1000.0,24,42,0.7046511627906976,,,,,,,,,,
87000,1000.0,0.20000000298023224,,,,,,-0.02653965912759304,-6.0299422159791,0.0003,0.203466796875,0.2,0.000641262099748019,0.017261667,0.9220497533679008,-0.024366033711703493,420
88000,1000.0,0.20000000298023224,,,,,,,,,,,,,,,
88064,,,3549,1000.0,24,43,0.7034090909090909,,,,,,,,,,
89000,1000.0,0.10000000149011612,,,,,,-0.0431644506752491,-6.112875519692897,0.0003,0.188232421875,0.2,0.0006629161136515905,0.018458541,0.8300427198410034,-0.02837311790790409,430
90000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
90112,,,3630,998.2222222222222,24,44,0.7055555555555556,,,,,,,,,,
91000,1000.0,0.10000000149011612,,,,,,-0.016585441306233406,-5.927725294232369,0.0003,0.143505859375,0.2,0.000371115369398467,0.01316196,0.8878083601593971,-0.022410331934224814,440
92000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
92160,,,3712,998.1521739130435,24,45,0.7119565217391305,,,,,,,,,,
93000,1000.0,0.10000000149011612,,,,,,-0.029653441160917282,-6.051484201848507,0.0003,0.1951171875,0.2,0.000604956262441192,0.022117084,0.8610002845525742,-0.027425552369095385,450
94000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
94208,,,3793,1000.0,24,46,0.7180851063829787,,,,,,,,,,
95000,1000.0,0.10000000149011612,,,,,,-0.058099936693906784,-5.972126041352749,0.0003,0.20341796875,0.2,0.0006525259569571063,0.018522872,0.9155306741595268,-0.027825079613830895,460
96000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
96256,,,3874,1000.0,24,47,0.7166666666666668,,,,,,,,,,
97000,1000.0,0.10000000149011612,,,,,,-0.05632168799638748,-5.948318442702293,0.0003,0.23017578125,0.2,0.0002756433172294237,0.023524279,0.9266189932823181,-0.029213159793289378,470
98000,1000.0,0.10000000149011612,,,,,,,,,,,,,,,
98304,,,3955,1000.0,24,48,0.7173469387755104,,,,,,,,,,
