time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/n_updates
172032,,,6960,930.0,24,84,0.9100000000000003,,,,,,,,,,
173000,1000.0,0.30000000447034836,,,,,,-0.012849384918808937,-4.611400532722473,0.0003,0.172998046875,0.2,0.0008667702829370683,0.019320082,0.7791909426450729,-0.01646581179811619,840
174000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
174080,,,7045,883.36,24,85,0.9290000000000002,,,,,,,,,,
175000,1000.0,0.6000000089406967,,,,,,-0.019511865451931953,-4.354644231498241,0.0003,0.230615234375,0.2,0.002770464495642955,0.02089968,0.8199781775474548,-0.020749449470895343,850
176000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
176128,,,7130,871.36,24,86,0.9500000000000003,,,,,,,,,,
177000,1000.0,0.6000000089406967,,,,,,-0.03364326432347298,-4.368636189401149,0.0003,0.179345703125,0.2,0.0027002436290331387,0.0152023295,0.793233722448349,-0.016585993592161685,860
178000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
178176,,,7214,881.6,24,87,0.9580000000000001,,,,,,,,,,
179000,1000.0,0.30000000447034836,,,,,,-0.023030197247862816,-4.257132548093796,0.0003,0.184814453125,0.2,9.020152535867964e-05,0.022698306,0.963293045759201,-0.020873104606289418,870
180000,1000.0,0.30000000447034836,,,,,,,,,,,,,,,
180224,,,7298,873.39,24,88,0.955,,,,,,,,,,
181000,1000.0,0.6000000089406967,,,,,,0.02397921122610569,-4.511466933786869,0.0003,0.17529296875,0.2,0.0014339681987394215,0.015177941,0.7887259274721146,-0.009067111150943673,880
182000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
182272,,,7383,870.59,24,89,0.9600000000000002,,,,,,,,,,
183000,1000.0,0.6000000089406967,,,,,,-0.0012771624606102705,-4.346668587625027,0.0003,0.201171875,0.2,0.0018733151104228796,0.013294915,0.7294744849205017,-0.012731041864026339,890
184000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
184320,,,7467,851.13,24,90,0.9760000000000002,,,,,,,,,,
185000,1000.0,0.6000000089406967,,,,,,-0.03646967187523842,-4.513447833061218,0.0003,0.225927734375,0.2,6.480182662826905e-05,0.024456257,0.9766388796269894,-0.02169352248456562,900
186000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
186368,,,7550,841.36,24,91,0.9870000000000002,,,,,,,,,,
187000,1000.0,0.6000000089406967,,,,,,-0.00717336218804121,-4.421974407136441,0.0003,0.255029296875,0.2,0.004512343518888429,0.018352874,0.615574061870575,-0.008243866823613643,910
188000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
188416,,,7634,840.38,24,92,0.9970000000000002,,,,,,,,,,
189000,1000.0,0.6000000089406967,,,,,,-0.03470476716756821,-4.252457772195339,0.0003,0.24296875,0.2,0.002085908744624021,0.021719787,0.675174742937088,-0.009848372548003682,920
190000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
190464,,,7711,850.0,24,93,1.006,,,,,,,,,,
191000,1000.0,0.6000000089406967,,,,,,0.005666583776473999,-4.01635752543807,0.0003,0.14580078125,0.2,0.0020073370470072406,0.01025736,0.6771061420440674,-0.007642474801104982,930
192000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
192512,,,7786,850.0,24,94,1.0070000000000001,,,,,,,,,,
193000,1000.0,0.6000000089406967,,,,,,-0.0262141153216362,-4.020204017311334,0.0003,0.201416015625,0.2,2.4254558671277238e-05,0.025339846,0.9825865626335144,-0.01840920429385733,940
194000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
194560,,,7860,830.97,24,95,1.0220000000000002,,,,,,,,,,
195000,1000.0,0.6000000089406967,,,,,,-0.015818187966942787,-4.377267844974995,0.0003,0.22646484375,0.2,0.0044042270333761735,0.016446171,0.6046817600727081,-0.010170107128215023,950
196000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
196608,,,7922,830.42,24,96,1.032,,,,,,,,,,
197000,1000.0,0.6000000089406967,,,,,,0.000356085947714746,-4.266157357394695,0.0003,0.146484375,0.2,0.0022621235533389237,0.012995442,0.6726223528385162,-0.003621472202939913,960
198000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
198656,,,7977,801.5,24,97,1.0480000000000003,,,,,,,,,,
199000,1000.0,0.6000000089406967,,,,,,0.017812976613640785,-4.187448462843895,0.0003,0.214013671875,0.2,0.002275013316420882,0.017357726,0.83474500477314,-0.009853528361418284,970
200000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
200704,,,8032,790.97,24,98,1.0750000000000002,,,,,,,,,,
201000,1000.0,0.6000000089406967,,,,,,-0.011242642067372799,-4.066242923587561,0.0003,0.14775390625,0.2,0.004310929566457844,0.01008061,0.685135543346405,-0.004707366970251314,980
202000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
202752,,,8087,793.74,25,99,1.0950000000000002,,,,,,,,,,
203000,1000.0,0.6000000089406967,,,,,,-0.0431167408823967,-4.070891419053078,0.0003,0.255224609375,0.2,0.003007877620029831,0.018839099,0.601938933134079,-0.019735437820781954,990
204000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
204800,,,8142,772.33,25,100,1.1030000000000002,,,,,,,,,,
205000,1000.0,0.800000011920929,,,,,,0.0268817488104105,-3.737666041404009,0.0003,0.205126953125,0.2,0.004272438140685608,0.013572605,0.6446895599365234,-0.0057121768681099635,1000
206000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
206848,,,8197,750.83,25,101,1.1010000000000002,,,,,,,,,,
207000,9.0,0.9000000134110451,,,,,,-0.0025441194884479046,-3.5662886314094067,0.0003,0.1939453125,0.2,0.002343742474729993,0.014109432,0.7652575820684433,-0.009220024204114451,1010
208000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
208896,,,8213,686.12,25,102,1.1050000000000002,,,,,,,,,,
209000,9.0,0.9000000134110451,,,,,,-0.024476176127791405,-3.4559035271406175,0.0003,0.18994140625,0.2,0.002503613424141804,0.015978374,0.8629626631736755,-0.011654231132706628,1020
210000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
210944,,,8230,512.71,25,103,1.1050000000000002,,,,,,,,,,
211000,9.0,0.9000000134110451,,,,,,-0.008825606666505337,-3.353390089422464,0.0003,0.18447265625,0.2,0.0050864559706496944,0.011325717,0.8455462157726288,-0.011419521615607664,1030
212000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
212992,,,8246,292.52,25,104,1.0510000000000006,,,,,,,,,,
213000,9.0,0.9000000134110451,,,,,,-0.0298149436712265,-3.1310953006148337,0.0003,0.201318359375,0.2,0.005204605563767473,0.014264628,0.8821553960442543,-0.008222003324772232,1040
214000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
215000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
215040,,,8263,49.33,26,105,0.9270000000000005,,,,,,,,,,
216000,9.0,0.9000000134110451,,,,,,-0.07715115696191788,-2.4432322919368743,0.0003,0.30341796875,0.2,0.0005496412121260619,0.0372649,0.9671618081629276,-0.029882777441525833,1050
217000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
217088,,,8279,18.78,26,106,0.9080000000000004,,,,,,,,,,
218000,9.0,0.9000000134110451,,,,,,-0.05289558693766594,-2.2201052282005547,0.0003,0.27197265625,0.2,0.0010276833614625502,0.032797962,0.9506620764732361,-0.03289584692392964,1060
219000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
219136,,,8296,28.07,26,107,0.9110000000000005,,,,,,,,,,
220000,9.0,0.9000000134110451,,,,,,-0.029291342943906784,-2.711142883449793,0.0003,0.146875,0.2,0.0010619203069609285,0.015206522,0.9711688086390495,-0.01289767938433215,1070
221000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
221184,,,8312,30.41,26,108,0.9240000000000005,,,,,,,,,,
222000,9.0,0.9000000134110451,,,,,,-0.008909758180379868,-2.762268536537886,0.0003,0.103271484375,0.2,0.0022095700129966646,0.0077282907,0.8551071882247925,-0.008455646425136364,1080
223000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
223232,,,8328,47.28,26,109,0.9310000000000005,,,,,,,,,,
224000,9.0,0.9000000134110451,,,,,,-0.00817843060940504,-3.2123454309999944,0.0003,0.17099609375,0.2,0.0029698292332341223,0.01198089,0.6668123006820679,-0.00872940968547482,1090
225000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
225280,,,8345,56.69,26,110,0.9390000000000005,,,,,,,,,,
226000,9.0,0.9000000134110451,,,,,,-0.011969070881605148,-3.191151360422373,0.0003,0.134228515625,0.2,0.003627547294126998,0.008162782,0.5051353275775909,-0.002753232215764001,1100
227000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
227328,,,8361,85.81,27,111,0.9450000000000002,,,,,,,,,,
228000,9.0,0.9000000134110451,,,,,,-0.008637534454464912,-3.2714577287435533,0.0003,0.219580078125,0.2,0.0006242721165179432,0.028528895,0.8189403116703033,-0.008734377272776327,1110
229000,9.0,0.9000000134110451,,,,,,,,,,,,,,,
229376,,,8377,104.97,27,112,0.9610000000000004,,,,,,,,,,
230000,1000.0,0.6000000089406967,,,,,,0.06466636061668396,-3.205145163089037,0.0003,0.20263671875,0.2,0.003797791021838748,0.019377388,0.6816697716712952,-0.007438821482355707,1120
231000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
231424,,,8431,120.24,27,113,0.9690000000000003,,,,,,,,,,
232000,1000.0,0.6000000089406967,,,,,,-0.012447251006960869,-3.1140886031091215,0.0003,0.165478515625,0.2,0.0037142454686772907,0.008947598,0.5755053162574768,-0.0057070227747317405,1130
233000,1000.0,0.6000000089406967,,,,,,,,,,,,,,,
233472,,,8486,129.89,27,114,0.9770000000000003,,,,,,,,,,
234000,1000.0,0.800000011920929,,,,,,0.013464703224599361,-3.024149527400732,0.0003,0.13212890625,0.2,0.004334123075793173,0.007349587,0.3584757447242737,-0.0016405935981310903,1140
235000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
235520,,,8541,159.47,27,115,0.9830000000000001,,,,,,,,,,
236000,1000.0,0.800000011920929,,,,,,-0.029083307832479477,-3.085621223598719,0.0003,0.22294921875,0.2,0.00022462948617913981,0.017470714,0.9001583456993103,-0.004660950071411207,1150
237000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
237568,,,8596,179.14,27,116,0.9810000000000001,,,,,,,,,,
238000,1000.0,0.800000011920929,,,,,,-0.012574790045619011,-3.2052011929452418,0.0003,0.179443359375,0.2,0.00015048699278485955,0.015173059,0.9406988061964512,-0.0022176592930918558,1160
239000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
239616,,,8650,204.56,27,117,0.9790000000000002,,,,,,,,,,
240000,1000.0,0.800000011920929,,,,,,0.03043605200946331,-3.4243431270122526,0.0003,0.22578125,0.2,0.00010227367576192137,0.021131633,0.9698302876204252,-0.0028028813132550566,1170
241000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
241664,,,8705,218.63,27,118,0.9860000000000001,,,,,,,,,,
242000,1000.0,0.800000011920929,,,,,,-0.024023056030273438,-3.3893152020871637,0.0003,0.138134765625,0.2,0.002499251599933672,0.0084500685,0.5487627387046814,-0.0011025571337086148,1180
243000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
243712,,,8760,228.5,27,119,0.9940000000000002,,,,,,,,,,
244000,1000.0,0.800000011920929,,,,,,0.018557555973529816,-3.267461210489273,0.0003,0.1673828125,0.2,0.004845301070724872,0.011538299,0.3709809184074402,-0.004929063786403276,1190
245000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
245760,,,8814,258.03,27,120,1.0,,,,,,,,,,
246000,1000.0,0.800000011920929,,,,,,0.006077989004552364,-3.4873087882995604,0.0003,0.28525390625,0.2,6.215979931534221e-05,0.02457313,0.9740373976528645,-0.006666850796318613,1200
247000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
247808,,,8869,267.89,27,121,0.9990000000000001,,,,,,,,,,
248000,1000.0,0.800000011920929,,,,,,-0.0010482394136488438,-3.3564382307231426,0.0003,0.17626953125,0.2,0.002480462939292849,0.009865278,0.546085387468338,-0.001725006521155592,1210
249000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
249856,,,8924,297.51,27,122,1.0050000000000001,,,,,,,,,,
250000,1000.0,0.800000011920929,,,,,,-0.016741236671805382,-3.4970639541745188,0.0003,0.257275390625,0.2,4.583529954800269e-05,0.024228793,0.9865305833518505,-0.0047241548309102654,1220
251000,1000.0,0.800000011920929,,,,,,,,,,,,,,,
251904,,,8978,317.21,28,123,1.0120000000000002,,,,,,,,,,
