eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
1000.0,1000,0.0,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,
,2048,,84,1000.0,1,0.6499999999999999,24,,,,,,,
1000.0,3000,0.0,,,,,,1,0.012556372766266578,0.8465347141027451,0.001,0.00539981946349144,1.0,0.04143087565898895
1000.0,4000,0.0,,,,,,,,,,,,
,4096,,84,1000.0,2,0.6499999999999999,48,,,,,,,
1000.0,5000,0.0,,,,,,2,0.004923329901066609,0.8271437883377075,0.001,0.004340122453868389,1.0,0.047416746616363525
1000.0,6000,0.0,,,,,,,,,,,,
,6144,,84,1000.0,3,0.7333333333333333,72,,,,,,,
1000.0,7000,0.0,,,,,,3,0.005182555226929253,0.8476418256759644,0.001,0.005595671944320202,1.0,0.04581361636519432
1000.0,8000,0.0,,,,,,,,,,,,
,8192,,84,1000.0,4,0.6875,97,,,,,,,
1000.0,9000,0.0,,,,,,4,0.006493921188666718,0.8472335785627365,0.001,0.006917331367731094,1.0,0.048281580209732056
1000.0,10000,0.0,,,,,,,,,,,,
,10240,,84,1000.0,5,0.7,121,,,,,,,
1000.0,11000,0.0,,,,,,5,0.002065586162279942,0.7909573912620544,0.001,0.00489695742726326,1.0,0.05106467008590698
1000.0,12000,0.0,,,,,,,,,,,,
,12288,,84,1000.0,6,0.7083333333333334,145,,,,,,,
1000.0,13000,0.0,,,,,,6,0.003063093091623159,0.8353284299373627,0.001,0.0056860437616705894,1.0,0.04573652893304825
1000.0,14000,0.0,,,,,,,,,,,,
,14336,,84,1000.0,7,0.7142857142857143,169,,,,,,,
1000.0,15000,0.0,,,,,,7,0.001725066441758827,0.7749456018209457,0.001,0.004169312305748463,1.0,0.04804205521941185
1000.0,16000,0.0,,,,,,,,,,,,
,16384,,84,1000.0,8,0.7,194,,,,,,,
1000.0,17000,0.0,,,,,,8,0.0031865518019913,0.8837245032191277,0.001,0.00649099238216877,1.0,0.03426757827401161
1000.0,18000,0.0,,,,,,,,,,,,
,18432,,84,988.3888888888889,9,0.711111111111111,218,,,,,,,
1000.0,19000,0.0,,,,,,9,0.0018328091631701683,0.8487951457500458,0.001,0.005265172570943832,1.0,0.04322100058197975
1000.0,20000,0.0,,,,,,,,,,,,
,20480,,84,1000.0,10,0.705,242,,,,,,,
1000.0,21000,0.0,,,,,,10,0.0020983994389098372,0.9226118102669716,0.001,0.0055520618334412575,1.0,0.03786256164312363
1000.0,22000,0.0,,,,,,,,,,,,
,22528,,84,993.4090909090909,11,0.7045454545454546,267,,,,,,,
1000.0,23000,0.0,,,,,,11,0.001349941911030328,0.7221556007862091,0.001,0.005476044025272131,1.0,0.038975752890110016
1000.0,24000,0.0,,,,,,,,,,,,
,24576,,84,1000.0,12,0.7083333333333334,291,,,,,,,
1000.0,25000,0.0,,,,,,12,0.0007018793876341078,0.8633933216333389,0.001,0.0048443954437971115,1.0,0.048259489238262177
1000.0,26000,0.0,,,,,,,,,,,,
,26624,,84,1000.0,13,0.7115384615384616,315,,,,,,,
1000.0,27000,0.0,,,,,,13,0.0021212095802184195,0.8331217616796494,0.001,0.006300776265561581,1.0,0.0398809015750885
1000.0,28000,0.0,,,,,,,,,,,,
,28672,,84,1000.0,14,0.7142857142857143,340,,,,,,,
1000.0,29000,0.0,,,,,,14,0.0013904991399613209,0.7557297199964523,0.001,0.006159504875540733,1.0,0.05545659363269806
1000.0,30000,0.0,,,,,,,,,,,,
,30720,,84,997.0,15,0.72,364,,,,,,,
1000.0,31000,0.0,,,,,,15,0.0006538204206663067,0.8364459872245789,0.001,0.00585526879876852,1.0,0.036023952066898346
1000.0,32000,0.0,,,,,,,,,,,,
,32768,,84,1000.0,16,0.7250000000000001,388,,,,,,,
1000.0,33000,0.0,,,,,,16,0.000808412914739165,0.8072134405374527,0.001,0.004636005032807589,1.0,0.04961450770497322
1000.0,34000,0.0,,,,,,,,,,,,
,34816,,84,1000.0,17,0.7294117647058824,413,,,,,,,
1000.0,35000,0.0,,,,,,17,0.0006015192504492007,0.7767183631658554,0.001,0.00476992130279541,1.0,0.05221104249358177
1000.0,36000,0.0,,,,,,,,,,,,
,36864,,84,1000.0,18,0.7277777777777779,437,,,,,,,
1000.0,37000,0.0,,,,,,18,0.001275941538369807,0.8006590455770493,0.001,0.005616327282041311,1.0,0.04271097481250763
1000.0,38000,0.0,,,,,,,,,,,,
,38912,,84,1000.0,19,0.7289473684210527,461,,,,,,,
1000.0,39000,0.0,,,,,,19,0.001483479849230207,0.8362219780683517,0.001,0.005971291568130255,1.0,0.05074257403612137
1000.0,40000,0.0,,,,,,,,,,,,
,40960,,84,1000.0,20,0.7275,485,,,,,,,
1000.0,41000,0.0,,,,,,20,0.0006627694016970054,0.87952771037817,0.001,0.005324681289494038,1.0,0.04194340854883194
1000.0,42000,0.0,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,
,43008,,82,1000.0,21,0.7325581395348838,520,,,,,,,
1000.0,44000,0.0,,,,,,21,0.0007428532376252406,0.8320410698652267,0.001,0.0052158525213599205,1.0,0.04994290694594383
1000.0,45000,0.0,,,,,,,,,,,,
,45056,,82,995.1111111111111,22,0.7355555555555556,544,,,,,,,
1000.0,46000,0.0,,,,,,22,0.0007096839828591329,0.8053380697965622,0.001,0.005820772144943476,1.0,0.04478490352630615
1000.0,47000,0.0,,,,,,,,,,,,
,47104,,82,1000.0,23,0.7319148936170212,568,,,,,,,
1000.0,48000,0.0,,,,,,23,0.0008378945678487071,0.7673993855714798,0.001,0.005346810445189476,1.0,0.0548115074634552
1000.0,49000,0.0,,,,,,,,,,,,
,49152,,82,998.8367346938776,24,0.7367346938775511,593,,,,,,,
1000.0,50000,0.0,,,,,,24,0.0011200864286365687,0.7425265312194824,0.001,0.00492597883567214,1.0,0.04713739454746246
1000.0,51000,0.0,,,,,,,,,,,,
,51200,,82,999.9215686274509,25,0.7411764705882352,617,,,,,,,
1000.0,52000,0.0,,,,,,25,0.0005988988295939635,0.7292571663856506,0.001,0.0054758451879024506,1.0,0.04733813554048538
1000.0,53000,0.0,,,,,,,,,,,,
,53248,,82,1000.0,26,0.7433962264150942,641,,,,,,,
1000.0,54000,0.0,,,,,,26,0.001193770795725868,0.7912736088037491,0.001,0.004768697544932365,1.0,0.05345221608877182
1000.0,55000,0.0,,,,,,,,,,,,
,55296,,83,993.5090909090909,27,0.7472727272727271,666,,,,,,,
1000.0,56000,0.0,,,,,,27,0.001640125715493923,0.7534259557723999,0.001,0.005074928514659405,1.0,0.0516691617667675
1000.0,57000,0.0,,,,,,,,,,,,
,57344,,83,1000.0,28,0.7578947368421053,690,,,,,,,
1000.0,58000,0.0,,,,,,28,0.0006869971453852486,0.7027272582054138,0.001,0.004223673604428768,1.0,0.05991111695766449
1000.0,59000,0.0,,,,,,,,,,,,
,59392,,83,1000.0,29,0.7559322033898306,714,,,,,,,
1000.0,60000,0.0,,,,,,29,0.001579892269910488,0.6515447497367859,0.001,0.005577147006988525,1.0,0.05865749716758728
1000.0,61000,0.0,,,,,,,,,,,,
,61440,,83,996.0819672131148,30,0.7639344262295082,739,,,,,,,
1000.0,62000,0.0,,,,,,30,0.0008511747120792279,0.6682337820529938,0.001,0.004507979843765497,1.0,0.05894935503602028
