eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
50.0,1000,0.0,,,,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,20,50.0,1,0.0925,102,,,,,,,,,,
50.0,3000,0.0,,,,,,10,0.04800748452544212,0.10053427973762155,-0.16621804237365723,0.0003,0.151904296875,0.2,-0.01771822594164405,0.011666788,-5.156165765225888
50.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,19,50.0,2,0.09753086419753088,205,,,,,,,,,,
50.0,5000,0.0,,,,,,20,0.0347306951880455,0.03161477908142842,-0.10760807991027832,0.0003,0.145654296875,0.2,-0.012490790343144908,0.013463546,-5.13974389731884
50.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,19,50.0,3,0.10099999999999998,308,,,,,,,,,,
50.0,7000,0.10000000149011612,,,,,,30,-0.04402456432580948,0.004616648665978574,-0.163413405418396,0.0003,0.13779296875,0.2,-0.016153134472551754,0.014422833,-5.1208073303103445
50.0,8000,0.10000000149011612,,,,,,,,,,,,,,,
,8192,,19,50.0,4,0.10099999999999999,411,,,,,,,,,,
50.0,9000,0.10000000149011612,,,,,,40,-0.032337334007024765,0.0020633606327464804,0.19257766008377075,0.0003,0.169091796875,0.2,-0.01857266742445063,0.015499713,-5.080786263942718
50.0,10000,0.10000000149011612,,,,,,,,,,,,,,,
,10240,,19,50.0,5,0.11199999999999997,514,,,,,,,,,,
50.0,11000,0.10000000149011612,,,,,,50,-0.011115482077002525,0.0015193377577816137,0.3925086259841919,0.0003,0.1458984375,0.2,-0.015612798268557526,0.012355424,-5.053217154741287
50.0,12000,0.10000000149011612,,,,,,,,,,,,,,,
,12288,,19,50.0,6,0.13499999999999998,618,,,,,,,,,,
50.0,13000,0.10000000149011612,,,,,,60,-0.004924587439745665,0.0014690059315398685,0.3983643651008606,0.0003,0.1365234375,0.2,-0.013374004268553109,0.010901725,-5.024045231938362
50.0,14000,0.10000000149011612,,,,,,,,,,,,,,,
,14336,,19,50.0,7,0.14699999999999996,721,,,,,,,,,,
50.0,15000,0.10000000149011612,,,,,,70,-0.021495187655091286,0.001290676887583686,0.3435226082801819,0.0003,0.146240234375,0.2,-0.015090125484857709,0.015767682,-4.98960028141737
50.0,16000,0.10000000149011612,,,,,,,,,,,,,,,
,16384,,19,49.79,8,0.15,824,,,,,,,,,,
