time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss
40960,,,0,-1683717610715064832,0.9000000000000005,25.38,20,,,,,,,,,,
41000,0.8,1000.0,,,,,,0.3704907298088074,0.857958984375,0.2,47.867798,0.004266944945629803,0.0003,0.059858836233615875,400,-1.9101418558508159,0.0653326755942544
42000,0.8,1000.0,,,,,,,,,,,,,,,
43000,0.8,1000.0,,,,,,,,,,,,,,,
43008,,,0,-1683717610715064832,0.9000000000000005,30.45,21,,,,,,,,,,
44000,0.8,1000.0,,,,,,0.16061079502105713,0.915966796875,0.2,18.277782,0.006622034957399592,0.0003,-0.02063331939280033,420,-1.421836331486702,0.09553896234428975
45000,0.8,1000.0,,,,,,,,,,,,,,,
45056,,,0,-1683717610715064832,0.9000000000000005,44.81,22,,,,,,,,,,
46000,0.2,1000.0,,,,,,0.10603022575378418,0.939892578125,0.2,14.642851,0.00805132353125373,0.0003,0.09418603032827377,440,-1.2230056919157506,0.14092757892212832
47000,0.2,1000.0,,,,,,,,,,,,,,,
47104,,,0,-1683717610715064832,0.9000000000000005,59.68,23,,,,,,,,,,
48000,0.8,1000.0,,,,,,0.13543730974197388,0.95703125,0.2,17.334585,0.006507855311792809,0.0003,0.09867379069328308,460,-1.088863129168749,0.2107764345477335
49000,0.8,1000.0,,,,,,,,,,,,,,,
49152,,,0,-1683717610715064832,0.9000000000000005,71.62,24,,,,,,,,,,
50000,0.8,1000.0,,,,,,0.09756702184677124,0.963525390625,0.2,76.020485,0.009600639948621393,0.0003,0.1646336019039154,480,-1.1811164498329163,0.4358282152912579
51000,0.8,1000.0,,,,,,,,,,,,,,,
51200,,,0,-1683717610715064832,0.9000000000000005,84.63,25,,,,,,,,,,
