eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
50.0,1000,0.0,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,
,2048,,20,50.0,1,0.0925,102,,,,,,,
50.0,3000,0.0,,,,,,1,0.10069675589911639,-0.16621804237365723,0.001,0.00694616511464119,1.0,0.03513096645474434
50.0,4000,0.0,,,,,,,,,,,,
,4096,,20,50.0,2,0.10246913580246912,204,,,,,,,
50.0,5000,0.10000000149011612,,,,,,2,0.022662339609814806,-0.364365816116333,0.001,0.007017322815954685,1.0,0.029500577598810196
50.0,6000,0.10000000149011612,,,,,,,,,,,,
,6144,,20,50.0,3,0.10099999999999999,306,,,,,,,
50.0,7000,0.0,,,,,,3,0.005253759525658097,0.17661994695663452,0.001,0.006089997943490744,1.0,0.03583922237157822
50.0,8000,0.0,,,,,,,,,,,,
,8192,,20,50.0,4,0.102,408,,,,,,,
50.0,9000,0.10000000149011612,,,,,,4,0.002060081825038651,0.36477476358413696,0.001,0.007302821148186922,1.0,0.033004242926836014
50.0,10000,0.10000000149011612,,,,,,,,,,,,
,10240,,20,50.0,5,0.09299999999999999,510,,,,,,,
50.0,11000,0.20000000298023224,,,,,,5,0.0013231627686764113,0.4002988338470459,0.001,0.007195500656962395,1.0,0.023394133895635605
50.0,12000,0.20000000298023224,,,,,,,,,,,,
,12288,,20,50.0,6,0.106,613,,,,,,,
50.0,13000,0.10000000149011612,,,,,,6,0.001232419713778654,0.21685904264450073,0.001,0.007549291476607323,1.0,0.024124979972839355
50.0,14000,0.10000000149011612,,,,,,,,,,,,
,14336,,20,50.0,7,0.11599999999999999,715,,,,,,,
50.0,15000,0.10000000149011612,,,,,,7,0.0012962903769221158,0.43017327785491943,0.001,0.007733857724815607,1.0,0.02341873198747635
50.0,16000,0.10000000149011612,,,,,,,,,,,,
,16384,,20,50.0,8,0.127,817,,,,,,,
50.0,17000,0.20000000298023224,,,,,,8,0.0016354632287402637,0.37083256244659424,0.001,0.006950420327484608,1.0,0.02161596529185772
50.0,18000,0.20000000298023224,,,,,,,,,,,,
,18432,,20,50.0,9,0.15,919,,,,,,,
50.0,19000,0.20000000298023224,,,,,,9,0.001468520303023979,0.42764925956726074,0.001,0.007479324471205473,1.0,0.027359597384929657
50.0,20000,0.20000000298023224,,,,,,,,,,,,
,20480,,20,49.81,10,0.152,1021,,,,,,,
