eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss,train/clip_fraction
0.4,41000,5.0,,,,,,0.0003,-0.11599688231945038,-0.9874308109283447,0.0002179801481695165,14.02832,-0.2822549899574369,0.2,400,-0.10318518341518938,0.41162109375
0.4,42000,5.0,,,,,,,,,,,,,,,
0.4,43000,5.0,,,,,,,,,,,,,,,
,43008,,0,0.3999999999999999,-1683715399720191232,21,5.05,,,,,,,,,,
0.4,44000,5.0,,,,,,0.0003,-0.10620567202568054,-1.151500940322876,0.0004199853099365214,30.662636,-0.33957820078358053,0.2,420,-0.10150430791545659,0.4208984375
0.4,45000,5.0,,,,,,,,,,,,,,,
,45056,,0,0.3999999999999999,-1683715399720190976,22,5.03,,,,,,,,,,
0.4,46000,5.0,,,,,,0.0003,-0.0972667783498764,-0.982375979423523,0.00026521069389957576,35.186577,-0.34642770546488466,0.2,440,-0.1025061372667551,0.4150390625
0.4,47000,5.0,,,,,,,,,,,,,,,
,47104,,0,0.3999999999999999,-1683715399720190976,23,5.06,,,,,,,,,,
0.4,48000,5.0,,,,,,0.0003,-0.11256328970193863,-0.9728035926818848,0.0005961595910974893,14.386091,-0.3390621320344508,0.2,460,-0.10422387975268066,0.4169921875
0.4,49000,5.0,,,,,,,,,,,,,,,
,49152,,0,0.3999999999999999,-1683715399720190976,24,5.04,,,,,,,,,,
0.4,50000,5.0,,,,,,0.0003,-0.1024370789527893,-1.1097476482391357,0.00045862938818999057,53.644447,-0.33522218530997633,0.2,480,-0.1010699008940719,0.41650390625
0.4,51000,5.0,,,,,,,,,,,,,,,
,51200,,0,0.3999999999999999,-1683715399720190976,25,5.03,,,,,,,,,,
