eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/clip_range
0.0,1000,1000.0,,,,,,,,,,,,,,,
0.0,2000,1000.0,,,,,,,,,,,,,,,
,2048,,76,26,1,1000.0,0.75,,,,,,,,,,
0.0,3000,1000.0,,,,,,-0.019781630486249924,0.013358641,-6.54143056422472,0.8753057345747948,10,0.017225126169796566,-0.024263950777822174,0.0003,0.141357421875,0.2
0.0,4000,1000.0,,,,,,,,,,,,,,,
,4096,,159,25,2,1000.0,0.6749999999999999,,,,,,,,,,
0.0,5000,1000.0,,,,,,-0.0008268812671303749,0.01719651,-6.53092395812273,0.8510325998067856,20,0.012752318129059859,-0.02203173898742534,0.0003,0.188671875,0.2
0.0,6000,1000.0,,,,,,,,,,,,,,,
,6144,,242,25,3,1000.0,0.6666666666666666,,,,,,,,,,
0.0,7000,1000.0,,,,,,-0.00824084971100092,0.017425299,-6.519801323115826,0.8233035206794739,30,0.0054753679058194395,-0.029380433436017483,0.0003,0.1873046875,0.2
0.0,8000,1000.0,,,,,,,,,,,,,,,
,8192,,324,25,4,1000.0,0.6,,,,,,,,,,
0.0,9000,1000.0,,,,,,-0.047255974262952805,0.015835464,-6.503279688954353,0.8652960658073425,40,0.004821628276567935,-0.02366829160018824,0.0003,0.155126953125,0.2
0.0,10000,1000.0,,,,,,,,,,,,,,,
,10240,,406,25,5,1000.0,0.61,,,,,,,,,,
0.0,11000,1000.0,,,,,,-0.05125053972005844,0.020036422,-6.49673179090023,0.8779626041650772,50,0.006930185409146361,-0.025387758301803842,0.0003,0.17783203125,0.2
0.0,12000,1000.0,,,,,,,,,,,,,,,
,12288,,487,25,6,1000.0,0.6166666666666666,,,,,,,,,,
0.0,13000,1000.0,,,,,,-0.0043597412295639515,0.013076188,-6.475734293460846,0.7821453213691711,60,0.0020426586550456706,-0.01839306655601831,0.0003,0.14130859375,0.2
0.0,14000,1000.0,,,,,,,,,,,,,,,
,14336,,569,25,7,1000.0,0.6285714285714284,,,,,,,,,,
0.0,15000,1000.0,,,,,,-0.05897979065775871,0.015695248,-6.484025190770626,0.8526060432195663,70,0.001721951294075552,-0.026329740163055247,0.0003,0.1732421875,0.2
0.0,16000,1000.0,,,,,,,,,,,,,,,
,16384,,650,25,8,1000.0,0.65625,,,,,,,,,,
0.0,17000,1000.0,,,,,,-0.03561422601342201,0.013743241,-6.452569188177586,0.6967631876468658,80,0.0028283145640671135,-0.02677219709730707,0.0003,0.169384765625,0.2
0.0,18000,1000.0,,,,,,,,,,,,,,,
,18432,,731,25,9,1000.0,0.6499999999999999,,,,,,,,,,
0.0,19000,1000.0,,,,,,-0.03338928148150444,0.017248232,-6.420858265459538,0.8282064348459244,90,0.001744023260243921,-0.021692491418798455,0.0003,0.18759765625,0.2
0.0,20000,1000.0,,,,,,,,,,,,,,,
,20480,,811,25,10,1000.0,0.6399999999999999,,,,,,,,,,
0.0,21000,1000.0,,,,,,-0.03724352642893791,0.016327724,-6.43133298009634,0.648141086101532,100,0.005240385212164256,-0.02471106344019063,0.0003,0.156640625,0.2
0.0,22000,1000.0,,,,,,,,,,,,,,,
,22528,,893,25,11,1000.0,0.6454545454545454,,,,,,,,,,
0.0,23000,1000.0,,,,,,0.006417332217097282,0.018432226,-6.432764525711536,0.7779950052499771,110,0.0019986119647910526,-0.029405799182131886,0.0003,0.195166015625,0.2
0.0,24000,1000.0,,,,,,,,,,,,,,,
,24576,,974,25,12,1000.0,0.65,,,,,,,,,,
0.0,25000,1000.0,,,,,,-0.013279635459184647,0.018616233,-6.436915171146393,0.8314782679080963,120,0.0020910736454425203,-0.031559853442013265,0.0003,0.206982421875,0.2
0.0,26000,1000.0,,,,,,,,,,,,,,,
,26624,,1055,25,13,1000.0,0.6384615384615385,,,,,,,,,,
0.0,27000,1000.0,,,,,,-0.015689993277192116,0.018675044,-6.369468641281128,0.6924932301044464,130,0.0010105133659635613,-0.020836085980408824,0.0003,0.199609375,0.2
0.0,28000,1000.0,,,,,,,,,,,,,,,
,28672,,1136,25,14,1000.0,0.642857142857143,,,,,,,,,,
0.0,29000,1000.0,,,,,,-0.044901419430971146,0.015473733,-6.407209461927414,0.7247449159622192,140,0.001536583598681318,-0.02502818870561896,0.0003,0.171875,0.2
0.0,30000,1000.0,,,,,,,,,,,,,,,
,30720,,1217,25,15,1000.0,0.6466666666666668,,,,,,,,,,
0.0,31000,1000.0,,,,,,-0.01763530820608139,0.015213008,-6.361909782886505,0.8081798404455185,150,0.002311936857586261,-0.024142311312607488,0.0003,0.18251953125,0.2
0.0,32000,1000.0,,,,,,,,,,,,,,,
,32768,,1298,25,16,1000.0,0.65,,,,,,,,,,
0.0,33000,1000.0,,,,,,-0.06035676226019859,0.014538655,-6.372759057581424,0.8542013913393021,160,0.0012659606750730745,-0.025158382905647158,0.0003,0.16494140625,0.2
0.0,34000,1000.0,,,,,,,,,,,,,,,
,34816,,1379,25,17,1000.0,0.6558823529411765,,,,,,,,,,
0.0,35000,1000.0,,,,,,-0.030531905591487885,0.016071673,-6.373702327907085,0.8650427162647247,170,0.0019844457381623217,-0.027402810935745946,0.0003,0.186474609375,0.2
0.0,36000,1000.0,,,,,,,,,,,,,,,
,36864,,1460,25,18,1000.0,0.6527777777777778,,,,,,,,,,
