eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
50.0,1000,0.0,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,
,2048,,20,50.0,1,0.1025,102,,,,,,,
50.0,3000,0.0,,,,,,1,0.015800453181145712,-0.41499340534210205,0.001,0.006659588776528835,1.0,0.03865669667720795
50.0,4000,0.0,,,,,,,,,,,,
,4096,,20,50.0,2,0.10617283950617283,204,,,,,,,
50.0,5000,0.10000000149011612,,,,,,2,0.0035047556179051754,-0.3462352752685547,0.001,0.0068514468148350716,1.0,0.029531821608543396
50.0,6000,0.10000000149011612,,,,,,,,,,,,
,6144,,20,50.0,3,0.11599999999999998,306,,,,,,,
50.0,7000,0.0,,,,,,3,0.0021509915182832628,-0.1673424243927002,0.001,0.007589261047542095,1.0,0.029730014503002167
50.0,8000,0.0,,,,,,,,,,,,
,8192,,20,50.0,4,0.111,408,,,,,,,
50.0,9000,0.0,,,,,,4,0.0014187362550728722,0.14151030778884888,0.001,0.007612674497067928,1.0,0.02340789884328842
50.0,10000,0.0,,,,,,,,,,,,
,10240,,20,50.0,5,0.103,510,,,,,,,
50.0,11000,0.0,,,,,,5,0.0009518868660961744,0.14080756902694702,0.001,0.007614096626639366,1.0,0.03163934126496315
50.0,12000,0.0,,,,,,,,,,,,
,12288,,20,50.0,6,0.121,612,,,,,,,
50.0,13000,0.0,,,,,,6,0.0014527891697071027,0.2633373737335205,0.001,0.0076111722737550735,1.0,0.02840586006641388
50.0,14000,0.0,,,,,,,,,,,,
,14336,,20,50.0,7,0.126,715,,,,,,,
50.0,15000,0.0,,,,,,7,0.0012897342552605552,0.3992340564727783,0.001,0.0074586099945008755,1.0,0.0241180881857872
50.0,16000,0.0,,,,,,,,,,,,
,16384,,20,50.0,8,0.13,817,,,,,,,
50.0,17000,0.10000000149011612,,,,,,8,0.0012955126479937463,0.292904794216156,0.001,0.006785246077924967,1.0,0.027780480682849884
50.0,18000,0.10000000149011612,,,,,,,,,,,,
,18432,,20,50.0,9,0.144,919,,,,,,,
50.0,19000,0.10000000149011612,,,,,,9,0.0022442550616688095,0.13508862257003784,0.001,0.00755554623901844,1.0,0.02973124198615551
50.0,20000,0.10000000149011612,,,,,,,,,,,,
,20480,,20,50.0,10,0.15599999999999997,1021,,,,,,,
