time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_fraction
40960,,,0,-1683717609109069568,0.9000000000000005,20,13.35,,,,,,,,,,
41000,10.0,0.9,,,,,,400,0.2,-4.301543653011322,43.410378,-0.04227633714908734,0.0077474117279052734,-0.06427603214979172,0.0015306694896253248,0.0003,0.9609375
42000,10.0,0.9,,,,,,,,,,,,,,,
43000,10.0,0.9,,,,,,,,,,,,,,,
43008,,,0,-1683717609109069568,0.9000000000000005,21,12.07,,,,,,,,,,
44000,10.0,0.9,,,,,,420,0.2,-4.154622086137533,34.085556,0.0017683885991573334,-0.001915574073791504,-0.09553706645965576,0.0009134771876688319,0.0003,0.959765625
45000,10.0,0.9,,,,,,,,,,,,,,,
45056,,,0,-1683717609109069568,0.9000000000000005,22,12.28,,,,,,,,,,
46000,10.0,0.9,,,,,,440,0.2,-3.9298399850726127,61.870667,-0.014193040097597986,-0.030726075172424316,0.4328503906726837,0.0032967546033432884,0.0003,0.949755859375
47000,10.0,0.9,,,,,,,,,,,,,,,
47104,,,0,-1683717609109069568,0.9000000000000005,23,11.79,,,,,,,,,,
48000,10.0,0.9,,,,,,460,0.2,-3.5687176801264284,120.60274,-0.0844964202202391,-0.0897064208984375,-0.09399585425853729,0.0012705511458761976,0.0003,0.96826171875
49000,10.0,0.9,,,,,,,,,,,,,,,
49152,,,0,-1683717609109069568,0.9000000000000005,24,11.48,,,,,,,,,,
50000,10.0,0.9,,,,,,480,0.2,-3.233796187490225,125.7617,-0.0628104096336756,-0.026423335075378418,-0.03379303589463234,0.002464340592462122,0.0003,0.961328125
51000,10.0,0.9,,,,,,,,,,,,,,,
51200,,,0,-1683717609109069312,0.9000000000000005,25,12.53,,,,,,,,,,
