time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_range
41000,0.30000000447034836,50.0,,,,,,0.013492541,-4.408033567667007,-0.024570545181632042,0.0003,0.17578125,-0.01888605806743726,0.9175420925021172,200,0.0010170814479351976,0.2
42000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
43000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
43008,,,0.34499999999999986,21,2196,43.21,19,,,,,,,,,,
44000,0.30000000447034836,50.0,,,,,,0.01543055,-4.300469335913658,-0.03229481354355812,0.0003,0.186865234375,-0.015100288813118822,0.8825972229242325,210,0.001436189354990347,0.2
45000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
45056,,,0.3579999999999998,22,2299,39.19,19,,,,,,,,,,
46000,0.30000000447034836,50.0,,,,,,0.014929004,-4.31607276648283,-0.04353618249297142,0.0003,0.210888671875,-0.02000598935992457,0.9020742923021317,220,0.0011900617526407586,0.2
47000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
47104,,,0.35899999999999993,23,2402,37.97,19,,,,,,,,,,
48000,0.30000000447034836,50.0,,,,,,0.011771927,-4.343732486665249,-0.03123193420469761,0.0003,0.1626953125,-0.017245164586347526,0.9315089732408524,230,0.0006399393803803832,0.2
49000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
49152,,,0.3579999999999999,24,2505,38.84,19,,,,,,,,,,
50000,0.30000000447034836,50.0,,,,,,0.011596555,-4.248649300634861,-0.030660873278975487,0.0003,0.137890625,-0.011060061361058615,0.9200883656740189,240,0.0009482352687882667,0.2
51000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
51200,,,0.3769999999999999,25,2607,33.5,19,,,,,,,,,,
52000,0.30000000447034836,50.0,,,,,,0.012729185,-4.137189077585935,-0.009278266690671444,0.0003,0.177685546875,-0.01524565250147134,0.9153127670288086,250,0.0009464545656555856,0.2
53000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
53248,,,0.38799999999999996,26,2709,29.48,19,,,,,,,,,,
54000,0.30000000447034836,50.0,,,,,,0.012516522,-4.038181185722351,-0.004213858395814896,0.0003,0.176416015625,-0.014112465392099694,0.9148273691534996,260,0.0008943492889557092,0.2
55000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
55296,,,0.3889999999999999,27,2811,27.86,19,,,,,,,,,,
56000,0.30000000447034836,50.0,,,,,,0.016724361,-3.8671182580292225,-0.07201770693063736,0.0003,0.205419921875,-0.01489191914733965,0.8929786533117294,270,0.0011835361608063977,0.2
57000,0.30000000447034836,50.0,,,,,,,,,,,,,,,
57344,,,0.3929999999999999,28,2912,22.73,19,,,,,,,,,,
58000,0.4000000059604645,4.0,,,,,,0.014219027,-3.8457309320569038,-0.05724306404590607,0.0003,0.19208984375,-0.015995087462943047,0.9117479920387268,280,0.0009050184223269753,0.2
59000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
59392,,,0.40099999999999997,29,2994,20.28,19,,,,,,,,,,
60000,0.4000000059604645,4.0,,,,,,0.015291762,-3.62205273360014,-0.01577073335647583,0.0003,0.224951171875,-0.022928624638007024,0.932539813220501,290,0.0007014038117631571,0.2
61000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
61440,,,0.4,30,3075,16.37,19,,,,,,,,,,
62000,0.4000000059604645,4.0,,,,,,0.014011638,-3.3533804222941397,-0.04324282333254814,0.0003,0.191162109375,-0.024059165918151847,0.9839344006031752,300,0.00017366374945595452,0.2
63000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
63488,,,0.40099999999999997,31,3154,12.8,20,,,,,,,,,,
64000,0.4000000059604645,4.0,,,,,,0.01830167,-3.0037904523313044,-0.02220000885426998,0.0003,0.233837890625,-0.026951435132650657,0.9744733795523643,310,0.00031842525863794434,0.2
65000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
65536,,,0.4019999999999999,32,3233,12.4,20,,,,,,,,,,
66000,0.4000000059604645,4.0,,,,,,0.026574798,-2.8292769834399225,-0.02873188816010952,0.0003,0.302880859375,-0.02842011123866541,0.9663749225437641,320,0.00043570114999056384,0.2
67000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
67584,,,0.40299999999999997,33,3311,10.45,20,,,,,,,,,,
68000,0.4000000059604645,4.0,,,,,,0.02916376,-2.481349264830351,-0.02280723676085472,0.0003,0.339111328125,-0.018892779503948985,0.9579510241746902,330,0.0004989588511165266,0.2
69000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
69632,,,0.4019999999999999,34,3387,7.95,20,,,,,,,,,,
70000,0.4000000059604645,4.0,,,,,,0.02311501,-2.1055724408477543,0.003162226639688015,0.0003,0.220947265625,-0.022868782351724803,0.9898824701085687,340,0.00010360455843283489,0.2
71000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
71680,,,0.3999999999999999,35,3462,6.5,20,,,,,,,,,,
72000,0.4000000059604645,4.0,,,,,,0.022001352,-1.7847807351499796,-0.07499425113201141,0.0003,0.357470703125,-0.031156078563071787,0.973918478935957,350,0.0003733438999887539,0.2
73000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
73728,,,0.3999999999999999,36,3536,6.06,20,,,,,,,,,,
74000,0.4000000059604645,4.0,,,,,,0.030232165,-1.448593834042549,-0.05988036096096039,0.0003,0.249609375,-0.02243389877548907,0.9819649513810873,360,0.0002219721813759179,0.2
75000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
75776,,,0.3999999999999999,37,3608,5.25,20,,,,,,,,,,
76000,0.4000000059604645,4.0,,,,,,0.019125493,-1.0730032024905085,-0.03230497986078262,0.0003,0.141943359375,-0.010679711957345716,0.9685310013592243,370,0.00043435458225644653,0.2
77000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
77824,,,0.3999999999999999,38,3679,4.98,21,,,,,,,,,,
78000,0.4000000059604645,4.0,,,,,,0.028216505,-0.8038821062073112,-0.027052434161305428,0.0003,0.141845703125,-0.015759675690787844,0.9837336149066687,380,0.00022534350401031132,0.2
79000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
79872,,,0.3999999999999999,39,3748,4.67,21,,,,,,,,,,
80000,0.4000000059604645,4.0,,,,,,0.03900952,-0.6628723470494151,-0.08064103126525879,0.0003,0.37275390625,-0.0354207396885613,0.9950658306479454,390,5.927339877960236e-05,0.2
81000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
81920,,,0.3999999999999999,40,3817,4.47,21,,,,,,,,,,
82000,0.4000000059604645,4.0,,,,,,0.005803,-0.5842386780306696,-0.04398626089096069,0.0003,0.064013671875,-0.016538771384512076,0.9914807304739952,400,0.0001203844115968522,0.2
83000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
83968,,,0.3999999999999999,41,3886,4.48,21,,,,,,,,,,
84000,0.4000000059604645,4.0,,,,,,0.004198674,-0.4716759083792567,-0.029748018831014633,0.0003,0.05634765625,-0.010807404905790463,0.9799102302640676,410,0.0002718825435287897,0.2
85000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
86000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
86016,,,0.3999999999999999,42,3955,4.39,21,,,,,,,,,,
87000,0.4000000059604645,4.0,,,,,,0.062994234,-0.26039302931167185,-0.0036335247568786144,0.0003,0.06181640625,-0.015628411099896766,0.9892410030588508,420,0.00012316378645245153,0.2
88000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
88064,,,0.3999999999999999,43,4023,4.09,21,,,,,,,,,,
89000,0.4000000059604645,4.0,,,,,,0.019155702,-0.25007471642456947,-0.014707166701555252,0.0003,0.135205078125,-0.04410521628451534,0.9953740085475147,430,5.804129169009187e-05,0.2
90000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
90112,,,0.3999999999999999,44,4092,4.46,22,,,,,,,,,,
91000,0.4000000059604645,4.0,,,,,,0.02606068,-0.2613080834038556,-0.020909179002046585,0.0003,0.230126953125,-0.025074063715874218,0.9859924158081412,440,0.00016910096145323906,0.2
92000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
92160,,,0.4019999999999999,45,4159,4.23,22,,,,,,,,,,
93000,0.4000000059604645,4.0,,,,,,0.0016209931,-0.19887246636208147,-0.01380922831594944,0.0003,0.029931640625,-0.006937577718053945,0.9951401189900935,450,6.424636883686218e-05,0.2
94000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
94208,,,0.40099999999999997,46,4227,4.21,22,,,,,,,,,,
95000,0.4000000059604645,4.0,,,,,,0.003606081,-0.19099602850619704,-0.020868510007858276,0.0003,0.026318359375,-0.010909154443652369,0.9985023227054626,460,1.824310937665885e-05,0.2
96000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
96256,,,0.4019999999999999,47,4294,4.22,22,,,,,,,,,,
97000,0.4000000059604645,4.0,,,,,,0.0016719091,-0.19177950744051486,-0.006138281896710396,0.0003,0.0322265625,-0.007935629543499089,0.9952437034808099,470,6.289643989099147e-05,0.2
98000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
98304,,,0.40099999999999997,48,4362,4.14,22,,,,,,,,,,
99000,0.4000000059604645,4.0,,,,,,0.0022251913,-0.1560280942125246,-0.001297804992645979,0.0003,0.02919921875,-0.010557352285832166,0.9985475181601942,480,1.9946842231011175e-05,0.2
100000,0.4000000059604645,4.0,,,,,,,,,,,,,,,
100352,,,0.3999999999999999,49,4428,4.16,22,,,,,,,,,,
