eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
1000.0,1000,0.0,,,,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,84,1000.0,1,0.75,24,,,,,,,,,,
1000.0,3000,0.0,,,,,,10,-0.019781630486249924,0.017225126169796566,0.8753057345747948,0.0003,0.141357421875,0.2,-0.024263950777822174,0.013358641,-6.54143056422472
1000.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,82,1000.0,2,0.6749999999999999,49,,,,,,,,,,
1000.0,5000,0.0,,,,,,20,-0.0008268812671303749,0.012752318129059859,0.8510325998067856,0.0003,0.188671875,0.2,-0.02203173898742534,0.01719651,-6.53092395812273
1000.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,82,1000.0,3,0.6666666666666666,74,,,,,,,,,,
1000.0,7000,0.0,,,,,,30,-0.00824084971100092,0.0054753679058194395,0.8233035206794739,0.0003,0.1873046875,0.2,-0.029380433436017483,0.017425299,-6.519801323115826
1000.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,81,1000.0,4,0.6,100,,,,,,,,,,
1000.0,9000,0.0,,,,,,40,-0.047255974262952805,0.004821628276567935,0.8652960658073425,0.0003,0.155126953125,0.2,-0.02366829160018824,0.015835464,-6.503279688954353
1000.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,81,1000.0,5,0.61,125,,,,,,,,,,
1000.0,11000,0.0,,,,,,50,-0.05125053972005844,0.006930185409146361,0.8779626041650772,0.0003,0.17783203125,0.2,-0.025387758301803842,0.020036422,-6.49673179090023
1000.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,81,1000.0,6,0.6166666666666666,150,,,,,,,,,,
1000.0,13000,0.0,,,,,,60,-0.0043597412295639515,0.0020426586550456706,0.7821453213691711,0.0003,0.14130859375,0.2,-0.01839306655601831,0.013076188,-6.475734293460846
1000.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,81,1000.0,7,0.6285714285714284,176,,,,,,,,,,
1000.0,15000,0.0,,,,,,70,-0.05897979065775871,0.001721951294075552,0.8526060432195663,0.0003,0.1732421875,0.2,-0.026329740163055247,0.015695248,-6.484025190770626
1000.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,81,1000.0,8,0.65625,201,,,,,,,,,,
1000.0,17000,0.0,,,,,,80,-0.03561422601342201,0.0028283145640671135,0.6967631876468658,0.0003,0.169384765625,0.2,-0.02677219709730707,0.013743241,-6.452569188177586
1000.0,18000,0.0,,,,,,,,,,,,,,,
,18432,,81,1000.0,9,0.6499999999999999,226,,,,,,,,,,
1000.0,19000,0.0,,,,,,90,-0.03338928148150444,0.001744023260243921,0.8282064348459244,0.0003,0.18759765625,0.2,-0.021692491418798455,0.017248232,-6.420858265459538
1000.0,20000,0.0,,,,,,,,,,,,,,,
,20480,,81,1000.0,10,0.6399999999999999,252,,,,,,,,,,
1000.0,21000,0.0,,,,,,100,-0.03724352642893791,0.005240385212164256,0.648141086101532,0.0003,0.156640625,0.2,-0.02471106344019063,0.016327724,-6.43133298009634
1000.0,22000,0.0,,,,,,,,,,,,,,,
,22528,,81,1000.0,11,0.6454545454545454,277,,,,,,,,,,
1000.0,23000,0.0,,,,,,110,0.006417332217097282,0.0019986119647910526,0.7779950052499771,0.0003,0.195166015625,0.2,-0.029405799182131886,0.018432226,-6.432764525711536
1000.0,24000,0.0,,,,,,,,,,,,,,,
,24576,,81,1000.0,12,0.65,302,,,,,,,,,,
1000.0,25000,0.0,,,,,,120,-0.013279635459184647,0.0020910736454425203,0.8314782679080963,0.0003,0.206982421875,0.2,-0.031559853442013265,0.018616233,-6.436915171146393
1000.0,26000,0.0,,,,,,,,,,,,,,,
,26624,,81,1000.0,13,0.6384615384615385,328,,,,,,,,,,
1000.0,27000,0.0,,,,,,130,-0.015689993277192116,0.0010105133659635613,0.6924932301044464,0.0003,0.199609375,0.2,-0.020836085980408824,0.018675044,-6.369468641281128
1000.0,28000,0.0,,,,,,,,,,,,,,,
,28672,,81,1000.0,14,0.642857142857143,353,,,,,,,,,,
1000.0,29000,0.0,,,,,,140,-0.044901419430971146,0.001536583598681318,0.7247449159622192,0.0003,0.171875,0.2,-0.02502818870561896,0.015473733,-6.407209461927414
1000.0,30000,0.0,,,,,,,,,,,,,,,
,30720,,81,1000.0,15,0.6466666666666668,378,,,,,,,,,,
1000.0,31000,0.0,,,,,,150,-0.01763530820608139,0.002311936857586261,0.8081798404455185,0.0003,0.18251953125,0.2,-0.024142311312607488,0.015213008,-6.361909782886505
1000.0,32000,0.0,,,,,,,,,,,,,,,
,32768,,81,1000.0,16,0.65,403,,,,,,,,,,
1000.0,33000,0.0,,,,,,160,-0.06035676226019859,0.0012659606750730745,0.8542013913393021,0.0003,0.16494140625,0.2,-0.025158382905647158,0.014538655,-6.372759057581424
1000.0,34000,0.0,,,,,,,,,,,,,,,
,34816,,81,1000.0,17,0.6558823529411765,429,,,,,,,,,,
1000.0,35000,0.0,,,,,,170,-0.030531905591487885,0.0019844457381623217,0.8650427162647247,0.0003,0.186474609375,0.2,-0.027402810935745946,0.016071673,-6.373702327907085
1000.0,36000,0.0,,,,,,,,,,,,,,,
,36864,,81,1000.0,18,0.6527777777777778,454,,,,,,,,,,
1000.0,37000,0.0,,,,,,180,-0.015708988532423973,0.001329072289809119,0.8427367359399796,0.0003,0.19716796875,0.2,-0.02583139595517423,0.02085312,-6.374190190434456
1000.0,38000,0.0,,,,,,,,,,,,,,,
,38912,,81,989.3076923076923,19,0.658974358974359,479,,,,,,,,,,
1000.0,39000,0.0,,,,,,190,-0.05781508982181549,0.001587035589000152,0.731940507888794,0.0003,0.158642578125,0.2,-0.025294395320815965,0.014118567,-6.308562943339348
1000.0,40000,0.0,,,,,,,,,,,,,,,
,40960,,81,1000.0,20,0.6725,505,,,,,,,,,,
1000.0,41000,0.0,,,,,,200,0.0015180063201114535,0.0008482388866468682,0.8428863286972046,0.0003,0.2044921875,0.2,-0.030540692119393496,0.019110823,-6.353039355576039
1000.0,42000,0.0,,,,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,,,,
,43008,,79,1000.0,21,0.6674418604651162,540,,,,,,,,,,
1000.0,44000,0.0,,,,,,210,0.0008347946568392217,0.0015638397420843831,0.8340853601694107,0.0003,0.185400390625,0.2,-0.022765322047052904,0.016017571,-6.305233420431614
1000.0,45000,0.0,,,,,,,,,,,,,,,
,45056,,79,1000.0,22,0.6711111111111111,565,,,,,,,,,,
1000.0,46000,0.0,,,,,,220,-0.04892276972532272,0.0010249062355342175,0.7909823209047318,0.0003,0.199853515625,0.2,-0.02578719758312218,0.016985752,-6.288591550290585
1000.0,47000,0.0,,,,,,,,,,,,,,,
,47104,,79,1000.0,23,0.672340425531915,591,,,,,,,,,,
1000.0,48000,0.0,,,,,,230,-0.044736914336681366,0.0024869934281923634,0.7949776500463486,0.0003,0.14296875,0.2,-0.02141017538961023,0.013512928,-6.285910944640636
1000.0,49000,0.0,,,,,,,,,,,,,,,
,49152,,79,1000.0,24,0.6714285714285716,616,,,,,,,,,,
