eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
1000.0,1000,0.0,,,,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,84,1000.0,1,0.6499999999999999,24,,,,,,,,,,
1000.0,3000,0.0,,,,,,10,-0.0478505976498127,0.01201032996214053,0.8465347141027451,0.0003,0.165966796875,0.2,-0.027338605420663954,0.017780222,-6.539278371632099
1000.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,82,979.5,2,0.7,49,,,,,,,,,,
1000.0,5000,0.0,,,,,,20,-0.044300030916929245,0.005986437499814201,0.8663434088230133,0.0003,0.1408203125,0.2,-0.026793281664140522,0.013875651,-6.518160630762577
1000.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,82,1000.0,3,0.75,74,,,,,,,,,,
1000.0,7000,0.0,,,,,,30,-0.05202338099479675,0.0037803630712005543,0.8675510585308075,0.0003,0.159326171875,0.2,-0.02270268805732485,0.014758365,-6.496009330451488
1000.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,81,1000.0,4,0.6875,100,,,,,,,,,,
1000.0,9000,0.0,,,,,,40,-0.03337843343615532,0.005241582248709164,0.9256064668297768,0.0003,0.16162109375,0.2,-0.02322665367537411,0.014202252,-6.506969358026981
1000.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,81,1000.0,5,0.6599999999999999,125,,,,,,,,,,
1000.0,11000,0.0,,,,,,50,-0.051534079015254974,0.0026814023936822195,0.8987387865781784,0.0003,0.169140625,0.2,-0.025223296505282634,0.019679952,-6.491943231225013
1000.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,81,1000.0,6,0.65,150,,,,,,,,,,
1000.0,13000,0.0,,,,,,60,-0.07641690224409103,0.002913969982182607,0.8798504769802094,0.0003,0.178857421875,0.2,-0.02795441361668054,0.020295447,-6.480746623873711
1000.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,81,1000.0,7,0.6714285714285715,176,,,,,,,,,,
1000.0,15000,0.0,,,,,,70,-0.023934844881296158,0.002319574744797137,0.8278407007455826,0.0003,0.1837890625,0.2,-0.030238451386685482,0.01562713,-6.456204782426357
1000.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,81,1000.0,8,0.6625,201,,,,,,,,,,
1000.0,17000,0.10000000149011612,,,,,,80,-0.042374834418296814,0.0016746442413023033,0.8765883445739746,0.0003,0.17822265625,0.2,-0.026506173363304696,0.017148996,-6.445390763878822
1000.0,18000,0.10000000149011612,,,,,,,,,,,,,,,
,18432,,81,1000.0,9,0.6777777777777777,226,,,,,,,,,,
1000.0,19000,0.10000000149011612,,,,,,90,-0.03915431722998619,0.00227099196636118,0.8407277166843414,0.0003,0.153271484375,0.2,-0.022548351029399782,0.013310635,-6.437360328435898
1000.0,20000,0.10000000149011612,,,,,,,,,,,,,,,
,20480,,81,1000.0,10,0.6699999999999999,252,,,,,,,,,,
1000.0,21000,0.0,,,,,,100,0.01480097882449627,0.001069248939256795,0.7337836027145386,0.0003,0.1552734375,0.2,-0.021212231530807913,0.013705027,-6.447055587172509
1000.0,22000,0.0,,,,,,,,,,,,,,,
,22528,,81,988.1818181818181,11,0.6818181818181818,277,,,,,,,,,,
1000.0,23000,0.0,,,,,,110,-0.0042596058920025826,0.003118637524130463,0.8817115426063538,0.0003,0.17802734375,0.2,-0.028426683478755876,0.017700851,-6.454303766787052
1000.0,24000,0.0,,,,,,,,,,,,,,,
,24576,,81,1000.0,12,0.7041666666666666,302,,,,,,,,,,
1000.0,25000,0.0,,,,,,120,-0.01360987313091755,0.001454475552736767,0.8039907664060593,0.0003,0.162158203125,0.2,-0.020144210042781198,0.014104016,-6.399374277889729
1000.0,26000,0.0,,,,,,,,,,,,,,,
,26624,,81,1000.0,13,0.7038461538461539,328,,,,,,,,,,
1000.0,27000,0.0,,,,,,130,-0.03007914125919342,0.0011475279634851176,0.6568218171596527,0.0003,0.18671875,0.2,-0.02763782467227429,0.017885882,-6.422888450324535
1000.0,28000,0.0,,,,,,,,,,,,,,,
,28672,,81,1000.0,14,0.6964285714285715,353,,,,,,,,,,
1000.0,29000,0.0,,,,,,140,-0.057284876704216,0.0009453259760675792,0.8099246174097061,0.0003,0.165673828125,0.2,-0.021776043601857965,0.016454935,-6.366033977270126
1000.0,30000,0.0,,,,,,,,,,,,,,,
,30720,,81,1000.0,15,0.6933333333333335,378,,,,,,,,,,
1000.0,31000,0.0,,,,,,150,-0.0356462337076664,0.001633379252598388,0.6919664442539215,0.0003,0.166552734375,0.2,-0.022544332552934067,0.014732955,-6.3435003265738485
1000.0,32000,0.0,,,,,,,,,,,,,,,
,32768,,81,1000.0,16,0.7,404,,,,,,,,,,
1000.0,33000,0.0,,,,,,160,-0.051357630640268326,0.00100944784044259,0.8405624330043793,0.0003,0.172509765625,0.2,-0.023709739246987736,0.014408044,-6.359106589853764
1000.0,34000,0.0,,,,,,,,,,,,,,,
,34816,,81,1000.0,17,0.7000000000000001,429,,,,,,,,,,
1000.0,35000,0.0,,,,,,170,-0.024912480264902115,0.0005001955458283191,0.7300068140029907,0.0003,0.1388671875,0.2,-0.02155215333623346,0.012970004,-6.3087327286601065
1000.0,36000,0.0,,,,,,,,,,,,,,,
,36864,,81,1000.0,18,0.7027777777777778,454,,,,,,,,,,
1000.0,37000,0.0,,,,,,180,-0.03370484337210655,0.004892967371779378,0.8383308202028275,0.0003,0.20029296875,0.2,-0.02854171636281535,0.020323329,-6.3670632794499396
1000.0,38000,0.0,,,,,,,,,,,,,,,
,38912,,81,1000.0,19,0.6973684210526315,479,,,,,,,,,,
1000.0,39000,0.0,,,,,,190,-0.008596699684858322,0.0012916987614516983,0.5711977183818817,0.0003,0.19306640625,0.2,-0.021034033675095997,0.017701292,-6.3216798678040504
1000.0,40000,0.0,,,,,,,,,,,,,,,
,40960,,81,1000.0,20,0.6925000000000001,505,,,,,,,,,,
1000.0,41000,0.0,,,,,,200,-0.04704643785953522,0.000555021957234203,0.9242127537727356,0.0003,0.17314453125,0.2,-0.026951243609073573,0.016210385,-6.303250898420811
1000.0,42000,0.0,,,,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,,,,
,43008,,79,1000.0,21,0.6906976744186047,540,,,,,,,,,,
1000.0,44000,0.10000000149011612,,,,,,210,-0.013710420578718185,0.0014990782402946935,0.9128280431032181,0.0003,0.159716796875,0.2,-0.023767410332220608,0.014773893,-6.323021933436394
1000.0,45000,0.10000000149011612,,,,,,,,,,,,,,,
,45056,,79,994.7111111111111,22,0.6955555555555556,565,,,,,,,,,,
1000.0,46000,0.10000000149011612,,,,,,220,-0.01298234611749649,0.0017221931893800502,0.7657448351383209,0.0003,0.180712890625,0.2,-0.028650027202093042,0.01732585,-6.270106530189514
1000.0,47000,0.10000000149011612,,,,,,,,,,,,,,,
,47104,,79,1000.0,23,0.7000000000000001,591,,,,,,,,,,
1000.0,48000,0.0,,,,,,230,-0.011307981796562672,0.00047195326869768904,0.8154890984296799,0.0003,0.160205078125,0.2,-0.02445799285778776,0.01414233,-6.274339288473129
1000.0,49000,0.0,,,,,,,,,,,,,,,
,49152,,79,1000.0,24,0.6918367346938775,616,,,,,,,,,,
