eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss
4.0,0.4000000059604645,41000,,,,,,0.8520376086235046,0.2,0.017992046,0.25859375,-4.1550661221146585,0.001030638085649116,0.0003,200,-0.028710394754307346,-0.036826565861701965
4.0,0.4000000059604645,42000,,,,,,,,,,,,,,,
4.0,0.4000000059604645,43000,,,,,,,,,,,,,,,
,,43008,21,31.65,20,2139,0.38699999999999996,,,,,,,,,,
4.0,0.4000000059604645,44000,,,,,,0.9163616225123405,0.2,0.017354876,0.255078125,-3.956038773804903,0.0007949232572173059,0.0003,210,-0.027473319618729876,-0.0570765845477581
4.0,0.4000000059604645,45000,,,,,,,,,,,,,,,
,,45056,22,23.82,20,2222,0.39699999999999996,,,,,,,,,,
4.0,0.4000000059604645,46000,,,,,,0.9252859205007553,0.2,0.023432259,0.309033203125,-3.7977746821939946,0.0006875356786622433,0.0003,220,-0.03212019290949684,-0.04392772912979126
4.0,0.4000000059604645,47000,,,,,,,,,,,,,,,
,,47104,23,19.01,20,2303,0.39599999999999996,,,,,,,,,,
4.0,0.4000000059604645,48000,,,,,,0.943567294627428,0.2,0.027808119,0.242578125,-3.621772086620331,0.00040943904359664885,0.0003,230,-0.02596709132194519,-0.0012934999540448189
4.0,0.4000000059604645,49000,,,,,,,,,,,,,,,
,,49152,24,16.68,20,2384,0.40199999999999997,,,,,,,,,,
4.0,0.4000000059604645,50000,,,,,,0.9663094617426395,0.2,0.022254162,0.33837890625,-3.3731035687029363,0.00043416475236881526,0.0003,240,-0.03059360101178754,-0.06307923793792725
4.0,0.4000000059604645,51000,,,,,,,,,,,,,,,
,,51200,25,13.71,20,2464,0.4019999999999999,,,,,,,,,,
4.0,0.4000000059604645,52000,,,,,,0.9678551889955997,0.2,0.025323369,0.32314453125,-3.1560706831514835,0.00045477559983737593,0.0003,250,-0.030019815516425297,-0.0532270222902298
4.0,0.4000000059604645,53000,,,,,,,,,,,,,,,
,,53248,26,11.26,20,2542,0.40099999999999997,,,,,,,,,,
4.0,0.4000000059604645,54000,,,,,,0.9767823647707701,0.2,0.025112301,0.3029296875,-2.6689575679600237,0.0003241002330014453,0.0003,260,-0.031694446894107386,-0.03649727255105972
4.0,0.4000000059604645,55000,,,,,,,,,,,,,,,
,,55296,27,8.58,21,2619,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,56000,,,,,,0.9832087680697441,0.2,0.035941336,0.3595703125,-2.4000257797539235,0.00024048230186792807,0.0003,270,-0.04219258585362695,-0.09284660220146179
4.0,0.4000000059604645,57000,,,,,,,,,,,,,,,
,,57344,28,8.18,21,2696,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,58000,,,,,,0.974748719483614,0.2,0.06499246,0.34951171875,-2.2531970378011463,0.0002552612474985949,0.0003,280,-0.03260476840659976,-0.009902696125209332
4.0,0.4000000059604645,59000,,,,,,,,,,,,,,,
,,59392,29,7.82,21,2772,0.40299999999999997,,,,,,,,,,
4.0,0.4000000059604645,60000,,,,,,0.9786969367414713,0.2,0.042477913,0.323828125,-2.0248263772577046,0.00025851610991765026,0.0003,290,-0.024793854806921443,-0.047622229903936386
4.0,0.4000000059604645,61000,,,,,,,,,,,,,,,
,,61440,30,6.05,21,2845,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,62000,,,,,,0.9881328660994768,0.2,0.09681622,0.457177734375,-1.4241671670228242,0.00018715631942711752,0.0003,300,-0.04696931298240088,-0.07494203746318817
4.0,0.4000000059604645,63000,,,,,,,,,,,,,,,
,,63488,31,5.38,21,2917,0.4019999999999999,,,,,,,,,,
4.0,0.4000000059604645,64000,,,,,,0.9912198884412646,0.2,0.06357914,0.30888671875,-1.0408370789140462,9.379554049360195e-05,0.0003,310,-0.03577289087697864,0.007674953434616327
4.0,0.4000000059604645,65000,,,,,,,,,,,,,,,
,,65536,32,5.51,21,2989,0.40299999999999997,,,,,,,,,,
4.0,0.4000000059604645,66000,,,,,,0.9858272094279528,0.2,0.02981809,0.51396484375,-0.7968842240050436,0.00020040709528785784,0.0003,320,-0.06825064801960253,-0.08459106087684631
4.0,0.4000000059604645,67000,,,,,,,,,,,,,,,
,,67584,33,4.75,22,3058,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,68000,,,,,,0.9924294967204332,0.2,0.032466747,0.291357421875,-0.546154697984457,8.933651152389643e-05,0.0003,330,-0.03782865943503566,-0.05997829511761665
4.0,0.4000000059604645,69000,,,,,,,,,,,,,,,
,,69632,34,4.43,22,3127,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,70000,,,,,,0.9840248972177505,0.2,0.057314485,0.14716796875,-0.3337854627519846,0.00020192952646524986,0.0003,340,-0.02285789102606941,-0.027169302105903625
4.0,0.4000000059604645,71000,,,,,,,,,,,,,,,
,,71680,35,4.13,22,3194,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,72000,,,,,,0.998986093676649,0.2,0.026794074,0.06806640625,-0.2775665327440947,1.0751556124066752e-05,0.0003,350,-0.02658648302895017,-0.07669585198163986
4.0,0.4000000059604645,73000,,,,,,,,,,,,,,,
,,73728,36,4.39,22,3263,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,74000,,,,,,0.9764483515173197,0.2,0.0425732,0.21484375,-0.29443237809464334,0.0003502608399719165,0.0003,360,-0.029273728479165585,-0.0449385792016983
4.0,0.4000000059604645,75000,,,,,,,,,,,,,,,
,,75776,37,4.17,22,3330,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,76000,,,,,,0.9875588295981288,0.2,0.060935177,0.05849609375,-0.18585297854151578,0.00018180237959803948,0.0003,370,-0.017211495214723982,-0.049957070499658585
4.0,0.4000000059604645,77000,,,,,,,,,,,,,,,
,,77824,38,4.43,22,3400,0.3999999999999999,,,,,,,,,,
4.0,0.4000000059604645,78000,,,,,,0.994717902969569,0.2,0.018936504,0.3296875,-0.30368076185695825,6.629871684857847e-05,0.0003,380,-0.038973471254575995,-0.024321140721440315
4.0,0.4000000059604645,79000,,,,,,,,,,,,,,,
,,79872,39,4.69,23,3469,0.3999999999999999,,,,,,,,,,
