eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates
5.0,41000,0.4,,,,,,0.0003,-1.0839130878448486,45.722214,-0.14780834317207336,-0.1276825119741261,0.0002950829487190276,0.66455078125,0.2,-0.6814502005465328,400
5.0,42000,0.4,,,,,,,,,,,,,,,
5.0,43000,0.4,,,,,,,,,,,,,,,
,43008,,21,-1683715397694829312,5.09,0.3999999999999999,0,,,,,,,,,,
5.0,44000,0.4,,,,,,0.0003,-1.0326862335205078,60.74133,-0.12210437655448914,-0.11996758519671857,0.00021306609041218393,0.65673828125,0.2,-0.6869864435866475,420
5.0,45000,0.4,,,,,,,,,,,,,,,
,45056,,22,-1683715397694829312,5.23,0.3999999999999999,0,,,,,,,,,,
5.0,46000,0.4,,,,,,0.0003,-0.9956467151641846,28.569405,-0.09788164496421814,-0.11813204251229763,0.00025495239681134764,0.662109375,0.2,-0.6936830137856305,440
5.0,47000,0.4,,,,,,,,,,,,,,,
,47104,,23,-1683715397694829056,5.23,0.3999999999999999,0,,,,,,,,,,
5.0,48000,0.4,,,,,,0.0003,-0.886614203453064,45.82931,-0.11394505202770233,-0.10354821918299421,0.00042798103635561803,0.68896484375,0.2,-0.6798901857808233,460
5.0,49000,0.4,,,,,,,,,,,,,,,
,49152,,24,-1683715397694829056,5.57,0.3999999999999999,0,,,,,,,,,,
5.0,50000,0.4,,,,,,0.0003,-0.9523868560791016,121.33504,-0.049245867878198624,-0.05063808581617195,0.000654633508202096,0.7654296875,0.2,-0.595011989120394,480
5.0,51000,0.4,,,,,,,,,,,,,,,
,51200,,25,-1683715397694829056,5.95,0.3999999999999999,0,,,,,,,,,,
