eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
1000.0,0.0,1000,,,,,,,,,,,,,,,
1000.0,0.0,2000,,,,,,,,,,,,,,,
,,2048,78,0.6,1,1000.0,25,,,,,,,,,,
1000.0,0.0,3000,,,,,,0.6279149949550629,-0.029556509107351303,0.163916015625,0.014875114,-6.5405793115496635,0.007715256922892877,0.0003,0.2,10,-0.028545956965535878
1000.0,0.0,4000,,,,,,,,,,,,,,,
,,4096,161,0.65,2,1000.0,25,,,,,,,,,,
1000.0,0.0,5000,,,,,,0.7668300867080688,-0.04583493247628212,0.159228515625,0.015680533,-6.527866393327713,0.00590798324192292,0.0003,0.2,20,-0.025571926881093533
1000.0,0.0,6000,,,,,,,,,,,,,,,
,,6144,244,0.6166666666666667,3,1000.0,25,,,,,,,,,,
1000.0,0.0,7000,,,,,,0.8106963783502579,-0.041063472628593445,0.20771484375,0.018359408,-6.514482003450394,0.007268455152370734,0.0003,0.2,30,-0.029392161700525322
1000.0,0.0,8000,,,,,,,,,,,,,,,
,,8192,327,0.6499999999999999,4,1000.0,25,,,,,,,,,,
1000.0,0.0,9000,,,,,,0.8659570217132568,-0.012481030076742172,0.153564453125,0.015361104,-6.490228040516376,0.0031159173562627985,0.0003,0.2,40,-0.023363727203104645
1000.0,0.0,10000,,,,,,,,,,,,,,,
,,10240,409,0.6599999999999999,5,1000.0,25,,,,,,,,,,
1000.0,0.0,11000,,,,,,0.9093042761087418,-0.054238107055425644,0.183203125,0.018827602,-6.482492224872113,0.003157588774774922,0.0003,0.2,50,-0.028483333069016226
1000.0,0.0,12000,,,,,,,,,,,,,,,
,,12288,490,0.6666666666666666,6,990.1666666666666,25,,,,,,,,,,
1000.0,0.0,13000,,,,,,0.8142726421356201,-0.03187545761466026,0.179541015625,0.018510163,-6.481803365051746,0.003519031318683119,0.0003,0.2,60,-0.026558181599830276
1000.0,0.0,14000,,,,,,,,,,,,,,,
,,14336,572,0.7071428571428572,7,979.2142857142857,25,,,,,,,,,,
1000.0,0.0,15000,,,,,,0.7863167077302933,-0.04362121969461441,0.175,0.01620911,-6.465218205749989,0.0020549745404423447,0.0003,0.2,70,-0.02900716285512317
1000.0,0.0,16000,,,,,,,,,,,,,,,
,,16384,653,0.725,8,1000.0,25,,,,,,,,,,
1000.0,0.0,17000,,,,,,0.6737692356109619,-0.048453960567712784,0.17373046875,0.014933901,-6.432275031507015,0.0014810661667070235,0.0003,0.2,80,-0.02142064582731109
1000.0,0.0,18000,,,,,,,,,,,,,,,
,,18432,734,0.7222222222222222,9,1000.0,25,,,,,,,,,,
1000.0,0.0,19000,,,,,,0.9179914519190788,-0.037437744438648224,0.19072265625,0.018878438,-6.439586447179318,0.0015958589969159221,0.0003,0.2,90,-0.029600646244944073
1000.0,0.0,20000,,,,,,,,,,,,,,,
,,20480,815,0.715,10,1000.0,25,,,,,,,,,,
1000.0,0.0,21000,,,,,,0.8973492532968521,0.002680134028196335,0.1736328125,0.017506042,-6.410360926389695,0.0012385297331547918,0.0003,0.2,100,-0.026161892742675264
1000.0,0.0,22000,,,,,,,,,,,,,,,
,,22528,896,0.7181818181818181,11,1000.0,25,,,,,,,,,,
1000.0,0.0,23000,,,,,,0.6841375529766083,-0.04427792876958847,0.2015625,0.018238815,-6.400306072831154,0.0019179931359758484,0.0003,0.2,110,-0.036210559931350875
1000.0,0.0,24000,,,,,,,,,,,,,,,
,,24576,978,0.7416666666666666,12,1000.0,25,,,,,,,,,,
1000.0,0.0,25000,,,,,,0.8549076020717621,-0.01565738581120968,0.158642578125,0.015253939,-6.407106271386146,0.001344740784043097,0.0003,0.2,120,-0.024855618874426
1000.0,0.0,26000,,,,,,,,,,,,,,,
,,26624,1059,0.7307692307692306,13,1000.0,25,,,,,,,,,,
1000.0,0.0,27000,,,,,,0.8993024379014969,-0.024296807125210762,0.17412109375,0.01543555,-6.394560110569,0.0004597620008780723,0.0003,0.2,130,-0.029455039055028463
1000.0,0.0,28000,,,,,,,,,,,,,,,
,,28672,1140,0.732142857142857,14,1000.0,25,,,,,,,,,,
1000.0,0.0,29000,,,,,,0.9260456040501595,-0.050819672644138336,0.19326171875,0.017788198,-6.357304118573666,0.0013558177680806694,0.0003,0.2,140,-0.022164673687075264
1000.0,0.0,30000,,,,,,,,,,,,,,,
,,30720,1222,0.7166666666666666,15,1000.0,25,,,,,,,,,,
1000.0,0.0,31000,,,,,,0.8765552788972855,-0.005796612240374088,0.1888671875,0.01957356,-6.295740807056427,0.0016009867174943792,0.0003,0.2,150,-0.02409684945305344
