time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates
37000,0.10000000149011612,1000.0,,,,,,0.2,-0.02328185596561525,0.015199958346784115,0.0010143078251530825,0.0003,0.8121989369392395,0.016632317,-6.348488099873066,0.186279296875,180
38000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
38912,,,1540,19,25,1000.0,0.7236842105263158,,,,,,,,,,
39000,0.10000000149011612,1000.0,,,,,,0.2,-0.02549891308299266,-0.03953154757618904,0.0011201073642496339,0.0003,0.7601138353347778,0.015544433,-6.356073021888733,0.1591796875,190
40000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
40960,,,1621,20,25,1000.0,0.725,,,,,,,,,,
41000,0.10000000149011612,1000.0,,,,,,0.2,-0.027737678910489193,-0.06702535599470139,0.0014538079311023466,0.0003,0.8950528278946877,0.016588952,-6.328137664496898,0.17666015625,200
42000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
43000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
43008,,,1729,21,24,1000.0,0.7302325581395349,,,,,,,,,,
44000,0.10000000149011612,1000.0,,,,,,0.2,-0.02917284625582397,-0.016467180103063583,0.0008606918596797186,0.0003,0.6829425990581512,0.01891042,-6.344400805234909,0.177490234375,210
45000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
45056,,,1810,22,24,1000.0,0.7266666666666667,,,,,,,,,,
46000,0.10000000149011612,1000.0,,,,,,0.2,-0.022144752775784583,-0.028823362663388252,0.002073634074713482,0.0003,0.8360298424959183,0.016800549,-6.322666610777378,0.1634765625,220
47000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
47104,,,1891,23,24,1000.0,0.7170212765957448,,,,,,,,,,
48000,0.10000000149011612,1000.0,,,,,,0.2,-0.02754464044701308,-0.04603396728634834,0.0007890548979730738,0.0003,0.8804093524813652,0.020499919,-6.3066023826599125,0.205517578125,230
49000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
49152,,,1972,24,24,1000.0,0.7081632653061224,,,,,,,,,,
50000,0.10000000149011612,1000.0,,,,,,0.2,-0.02626802425074857,-0.022693278267979622,0.00146343738606447,0.0003,0.30925607681274414,0.02003903,-6.2949708759784695,0.223193359375,240
51000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
51200,,,2053,25,24,1000.0,0.7078431372549019,,,,,,,,,,
52000,0.10000000149011612,1000.0,,,,,,0.2,-0.023155741620576008,-0.03704645484685898,0.0008180173489563458,0.0003,0.6504176557064056,0.016622033,-6.308093932271004,0.183642578125,250
53000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
53248,,,2134,26,24,1000.0,0.7056603773584905,,,,,,,,,,
54000,0.10000000149011612,1000.0,,,,,,0.2,-0.030061199120245873,-0.03937399759888649,0.0007034578500679344,0.0003,0.8471103310585022,0.020192116,-6.297611433267593,0.192236328125,260
55000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
55296,,,2215,27,24,1000.0,0.7145454545454545,,,,,,,,,,
56000,0.10000000149011612,1000.0,,,,,,0.2,-0.023255485380650497,-0.05490919202566147,0.004307471506399452,0.0003,0.7046989500522614,0.016889881,-6.26951626688242,0.1943359375,270
57000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
57344,,,2296,28,24,1000.0,0.7140350877192982,,,,,,,,,,
58000,0.10000000149011612,1000.0,,,,,,0.2,-0.02472526022902457,-0.029903694987297058,0.0023756759916068403,0.0003,0.8500279784202576,0.018401321,-6.302574308216572,0.198974609375,280
59000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
59392,,,2377,29,24,993.1016949152543,0.7152542372881356,,,,,,,,,,
60000,0.10000000149011612,1000.0,,,,,,0.2,-0.029562368616461755,-0.03234223648905754,0.0015029031535959802,0.0003,0.6486969888210297,0.020781405,-6.294837594032288,0.186279296875,290
61000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
61440,,,2458,30,24,1000.0,0.7262295081967213,,,,,,,,,,
62000,0.10000000149011612,1000.0,,,,,,0.2,-0.023434862331487238,-0.027374235913157463,0.0008845273850056401,0.0003,0.8654874265193939,0.015725046,-6.270666232705116,0.160400390625,300
63000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
63488,,,2539,31,24,1000.0,0.7238095238095238,,,,,,,,,,
64000,0.10000000149011612,1000.0,,,,,,0.2,-0.024827767541864887,-0.0261401254683733,0.0018917098851488844,0.0003,0.7965595871210098,0.015275988,-6.295487533509731,0.176513671875,310
65000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
65536,,,2620,32,25,998.3384615384615,0.7276923076923076,,,,,,,,,,
66000,0.10000000149011612,1000.0,,,,,,0.2,-0.028677215668722056,-0.014983358792960644,0.0005825950455573548,0.0003,0.9140067771077156,0.019416207,-6.216217084228992,0.2068359375,320
67000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
67584,,,2701,33,25,1000.0,0.7298507462686565,,,,,,,,,,
68000,0.10000000149011612,1000.0,,,,,,0.2,-0.020399603582336567,-0.021418437361717224,0.0006890325010544985,0.0003,0.8945044651627541,0.016514078,-6.241054929792881,0.1658203125,330
69000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
69632,,,2782,34,25,1000.0,0.726086956521739,,,,,,,,,,
70000,0.10000000149011612,1000.0,,,,,,0.2,-0.02562967273115646,-0.04008401185274124,0.0005830564412690365,0.0003,0.8150441646575928,0.020942176,-6.19276557713747,0.231884765625,340
71000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
71680,,,2863,35,25,1000.0,0.7239436619718309,,,,,,,,,,
72000,0.10000000149011612,1000.0,,,,,,0.2,-0.03203841839858797,-0.05217374116182327,0.00047553776757922603,0.0003,0.8920791745185852,0.020065501,-6.202091506123542,0.2146484375,350
73000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
73728,,,2944,36,25,1000.0,0.7205479452054795,,,,,,,,,,
74000,0.10000000149011612,1000.0,,,,,,0.2,-0.02395506124012172,-0.02669207565486431,0.0003839309371073796,0.0003,0.9040953442454338,0.016808504,-6.171658250689506,0.188671875,360
75000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
75776,,,3024,37,25,1000.0,0.7213333333333334,,,,,,,,,,
76000,0.10000000149011612,1000.0,,,,,,0.2,-0.023389388402574696,-0.03259197250008583,0.000605173821122662,0.0003,0.7671895325183868,0.017093439,-6.158348082005977,0.17392578125,370
77000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
77824,,,3105,38,25,1000.0,0.7220779220779221,,,,,,,,,,
78000,0.10000000149011612,1000.0,,,,,,0.2,-0.01990055071073584,-0.05590236559510231,0.0004382502163025492,0.0003,0.8501393795013428,0.015234854,-6.195974726974964,0.18095703125,380
79000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
79872,,,3186,39,25,1000.0,0.7215189873417722,,,,,,,,,,
80000,0.10000000149011612,1000.0,,,,,,0.2,-0.022100709739606827,-0.03785113990306854,0.0003584945473676271,0.0003,0.8671530336141586,0.014884169,-6.122134648263454,0.168115234375,390
81000,0.10000000149011612,1000.0,,,,,,,,,,,,,,,
81920,,,3267,40,25,995.5365853658536,0.7219512195121951,,,,,,,,,,
