eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
1000.0,1000,0.0,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,
,2048,,84,1000.0,1,0.75,24,,,,,,,
1000.0,3000,0.0,,,,,,1,0.017948991726734677,0.8753057345747948,0.001,0.005779070779681206,1.0,0.037496160715818405
1000.0,4000,0.0,,,,,,,,,,,,
,4096,,84,1000.0,2,0.7749999999999999,48,,,,,,,
1000.0,5000,0.0,,,,,,2,0.01081136110733496,0.8636360615491867,0.001,0.005280656740069389,1.0,0.044356804341077805
1000.0,6000,0.0,,,,,,,,,,,,
,6144,,84,1000.0,3,0.7666666666666666,72,,,,,,,
1000.0,7000,0.0,,,,,,3,0.0056298470022738915,0.6637454926967621,0.001,0.003958167042583227,1.0,0.051322948187589645
1000.0,8000,0.0,,,,,,,,,,,,
,8192,,84,1000.0,4,0.75,97,,,,,,,
1000.0,9000,0.0,,,,,,4,0.00180414682290575,0.8862689584493637,0.001,0.005689319688826799,1.0,0.04088379442691803
1000.0,10000,0.0,,,,,,,,,,,,
,10240,,84,1000.0,5,0.73,121,,,,,,,
1000.0,11000,0.0,,,,,,5,0.0016133549361256883,0.7475941181182861,0.001,0.004897518549114466,1.0,0.053634293377399445
1000.0,12000,0.0,,,,,,,,,,,,
,12288,,84,1000.0,6,0.7000000000000001,145,,,,,,,
1000.0,13000,0.0,,,,,,6,0.005267440157331294,0.7215501070022583,0.001,0.006329726427793503,1.0,0.04608461260795593
1000.0,14000,0.0,,,,,,,,,,,,
,14336,,84,1000.0,7,0.7,170,,,,,,,
1000.0,15000,0.0,,,,,,7,0.001627797468972858,0.9046462178230286,0.001,0.006505892612040043,1.0,0.03734588623046875
1000.0,16000,0.0,,,,,,,,,,,,
,16384,,84,1000.0,8,0.7,194,,,,,,,
1000.0,17000,0.0,,,,,,8,0.003114365340297809,0.8117510676383972,0.001,0.006117732264101505,1.0,0.04518948495388031
1000.0,18000,0.0,,,,,,,,,,,,
,18432,,84,1000.0,9,0.75,218,,,,,,,
1000.0,19000,0.0,,,,,,9,0.002398180829914054,0.8037535399198532,0.001,0.005914255045354366,1.0,0.04336349666118622
1000.0,20000,0.0,,,,,,,,,,,,
,20480,,84,1000.0,10,0.74,242,,,,,,,
1000.0,21000,0.0,,,,,,10,0.0009304484556196257,0.8956494852900505,0.001,0.005988065619021654,1.0,0.039493922144174576
1000.0,22000,0.0,,,,,,,,,,,,
,22528,,84,1000.0,11,0.7454545454545454,267,,,,,,,
1000.0,23000,0.0,,,,,,11,0.001349898120315629,0.7931202203035355,0.001,0.0048500895500183105,1.0,0.04486224055290222
1000.0,24000,0.0,,,,,,,,,,,,
,24576,,84,982.6,12,0.7759999999999999,291,,,,,,,
1000.0,25000,0.0,,,,,,12,0.0015007086993136908,0.8164197504520416,0.001,0.005544183310121298,1.0,0.04601915925741196
1000.0,26000,0.0,,,,,,,,,,,,
,26624,,84,1000.0,13,0.7999999999999999,315,,,,,,,
1000.0,27000,0.0,,,,,,13,0.0025365538356709296,0.7574040293693542,0.001,0.004915784113109112,1.0,0.05154320225119591
1000.0,28000,0.0,,,,,,,,,,,,
,28672,,84,1000.0,14,0.7964285714285714,340,,,,,,,
1000.0,29000,0.0,,,,,,14,0.001020998012063501,0.8379013240337372,0.001,0.005266891792416573,1.0,0.047144465148448944
1000.0,30000,0.0,,,,,,,,,,,,
,30720,,84,1000.0,15,0.7833333333333333,364,,,,,,,
1000.0,31000,0.0,,,,,,15,0.0006422654249035986,0.890389695763588,0.001,0.005640795454382896,1.0,0.04545876011252403
1000.0,32000,0.0,,,,,,,,,,,,
,32768,,84,1000.0,16,0.78125,388,,,,,,,
1000.0,33000,0.0,,,,,,16,0.0013571799812780228,0.8273516148328781,0.001,0.00611242838203907,1.0,0.041010234504938126
1000.0,34000,0.0,,,,,,,,,,,,
,34816,,84,1000.0,17,0.7823529411764706,413,,,,,,,
1000.0,35000,0.0,,,,,,17,0.0009826028662246245,0.7775010615587234,0.001,0.006497933529317379,1.0,0.04613024741411209
1000.0,36000,0.0,,,,,,,,,,,,
,36864,,84,1000.0,18,0.7833333333333334,437,,,,,,,
1000.0,37000,0.0,,,,,,18,0.0011246417527218,0.7244150340557098,0.001,0.004739205818623304,1.0,0.04301884025335312
1000.0,38000,0.0,,,,,,,,,,,,
,38912,,84,1000.0,19,0.7789473684210527,461,,,,,,,
1000.0,39000,0.0,,,,,,19,0.0009668124883319251,0.8678117245435715,0.001,0.005035435780882835,1.0,0.04714473336935043
1000.0,40000,0.0,,,,,,,,,,,,
,40960,,84,1000.0,20,0.775,485,,,,,,,
1000.0,41000,0.0,,,,,,20,0.0013156432783944182,0.7356817126274109,0.001,0.00606755493208766,1.0,0.03849324584007263
1000.0,42000,0.0,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,
,43008,,82,1000.0,21,0.7744186046511627,520,,,,,,,
1000.0,44000,0.0,,,,,,21,0.0011084647041570861,0.7887206673622131,0.001,0.005288321059197187,1.0,0.041322387754917145
1000.0,45000,0.0,,,,,,,,,,,,
,45056,,82,1000.0,22,0.7733333333333333,544,,,,,,,
1000.0,46000,0.10000000149011612,,,,,,22,0.0008833177722408436,0.8737469762563705,0.001,0.006004642695188522,1.0,0.043808355927467346
1000.0,47000,0.10000000149011612,,,,,,,,,,,,
,47104,,82,1000.0,23,0.7851063829787234,568,,,,,,,
1000.0,48000,0.10000000149011612,,,,,,23,0.0008051025168242631,0.8505993187427521,0.001,0.004899344407021999,1.0,0.058861300349235535
1000.0,49000,0.10000000149011612,,,,,,,,,,,,
,49152,,82,1000.0,24,0.7816326530612244,593,,,,,,,
1000.0,50000,0.10000000149011612,,,,,,24,0.001155862490668369,0.5995799899101257,0.001,0.005235142074525356,1.0,0.04384671524167061
1000.0,51000,0.10000000149011612,,,,,,,,,,,,
,51200,,82,992.0588235294117,25,0.780392156862745,617,,,,,,,
1000.0,52000,0.10000000149011612,,,,,,25,0.0011711951741744998,0.8551962822675705,0.001,0.006680349353700876,1.0,0.04437880963087082
1000.0,53000,0.10000000149011612,,,,,,,,,,,,
,53248,,82,1000.0,26,0.7849056603773584,641,,,,,,,
1000.0,54000,0.10000000149011612,,,,,,26,0.0005466292182063626,0.777555987238884,0.001,0.00458225142210722,1.0,0.048560645431280136
1000.0,55000,0.10000000149011612,,,,,,,,,,,,
,55296,,83,1000.0,27,0.7836363636363636,666,,,,,,,
1000.0,56000,0.10000000149011612,,,,,,27,0.0003105118465555279,0.8989090919494629,0.001,0.00470334105193615,1.0,0.038365647196769714
1000.0,57000,0.10000000149011612,,,,,,,,,,,,
,57344,,83,997.5964912280701,28,0.7824561403508772,690,,,,,,,
1000.0,58000,0.20000000298023224,,,,,,28,0.0007958737727676634,0.8015586733818054,0.001,0.006002726964652538,1.0,0.03595724701881409
1000.0,59000,0.20000000298023224,,,,,,,,,,,,
,59392,,83,1000.0,29,0.7830508474576272,714,,,,,,,
1000.0,60000,0.20000000298023224,,,,,,29,0.0006799730751481548,0.829672783613205,0.001,0.006169787608087063,1.0,0.034578196704387665
1000.0,61000,0.20000000298023224,,,,,,,,,,,,
,61440,,83,1000.0,30,0.7836065573770491,738,,,,,,,
