eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
1000.0,1000,0.0,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,
,2048,,84,1000.0,1,0.7,24,,,,,,,
1000.0,3000,0.0,,,,,,1,0.009469761740183458,0.8636085242033005,0.001,0.006056496873497963,1.0,0.03651072829961777
1000.0,4000,0.0,,,,,,,,,,,,
,4096,,84,1000.0,2,0.7,48,,,,,,,
1000.0,5000,0.0,,,,,,2,0.005687114987813402,0.7735882997512817,0.001,0.0050923642702400684,1.0,0.044813185930252075
1000.0,6000,0.0,,,,,,,,,,,,
,6144,,84,1000.0,3,0.6833333333333332,72,,,,,,,
1000.0,7000,0.0,,,,,,3,0.005888874233642127,0.7398847937583923,0.001,0.005774718709290028,1.0,0.050345875322818756
1000.0,8000,0.0,,,,,,,,,,,,
,8192,,84,1000.0,4,0.6749999999999999,97,,,,,,,
1000.0,9000,0.0,,,,,,4,0.0027091180443676423,0.8783987760543823,0.001,0.005194337107241154,1.0,0.042647190392017365
1000.0,10000,0.0,,,,,,,,,,,,
,10240,,84,1000.0,5,0.6799999999999999,121,,,,,,,
1000.0,11000,0.0,,,,,,5,0.003429034445434809,0.8330435901880264,0.001,0.005133782047778368,1.0,0.049461230635643005
1000.0,12000,0.0,,,,,,,,,,,,
,12288,,84,1000.0,6,0.6749999999999999,145,,,,,,,
1000.0,13000,0.0,,,,,,6,0.001587921884129173,0.9186183288693428,0.001,0.005884445272386074,1.0,0.043152548372745514
1000.0,14000,0.0,,,,,,,,,,,,
,14336,,84,1000.0,7,0.6785714285714286,169,,,,,,,
1000.0,15000,0.0,,,,,,7,0.00195491109516297,0.9393856935203075,0.001,0.007098281756043434,1.0,0.04217565059661865
1000.0,16000,0.0,,,,,,,,,,,,
,16384,,84,1000.0,8,0.68125,194,,,,,,,
1000.0,17000,0.0,,,,,,8,0.004938569945079507,0.8739150762557983,0.001,0.005925352685153484,1.0,0.04600704461336136
1000.0,18000,0.0,,,,,,,,,,,,
,18432,,84,967.0555555555555,9,0.7166666666666667,218,,,,,,,
1000.0,19000,0.0,,,,,,9,0.0028761711499100786,0.7699103206396103,0.001,0.005305138882249594,1.0,0.05183009058237076
1000.0,20000,0.0,,,,,,,,,,,,
,20480,,84,1000.0,10,0.735,242,,,,,,,
1000.0,21000,0.0,,,,,,10,0.0006477212251411402,0.6373095512390137,0.001,0.005645765457302332,1.0,0.041692767292261124
1000.0,22000,0.0,,,,,,,,,,,,
,22528,,84,1000.0,11,0.7227272727272727,267,,,,,,,
1000.0,23000,0.0,,,,,,11,0.001287383613816928,0.8172746449708939,0.001,0.005185525398701429,1.0,0.04653109610080719
1000.0,24000,0.0,,,,,,,,,,,,
,24576,,84,1000.0,12,0.7416666666666667,291,,,,,,,
1000.0,25000,0.0,,,,,,12,0.0021486698489752596,0.7737129032611847,0.001,0.005124639719724655,1.0,0.03989657387137413
1000.0,26000,0.0,,,,,,,,,,,,
,26624,,84,1000.0,13,0.7384615384615386,315,,,,,,,
1000.0,27000,0.0,,,,,,13,0.0021366890396166127,0.9213521257042885,0.001,0.00668763741850853,1.0,0.03841250389814377
1000.0,28000,0.0,,,,,,,,,,,,
,28672,,84,996.5714285714286,14,0.7392857142857144,340,,,,,,,
1000.0,29000,0.0,,,,,,14,0.0020554791248287075,0.795005589723587,0.001,0.00545233441516757,1.0,0.048681385815143585
1000.0,30000,0.0,,,,,,,,,,,,
,30720,,84,1000.0,15,0.7333333333333335,364,,,,,,,
1000.0,31000,0.0,,,,,,15,0.0007726623186499638,0.6656967997550964,0.001,0.0069167944602668285,1.0,0.05271995812654495
1000.0,32000,0.0,,,,,,,,,,,,
,32768,,84,996.4375,16,0.73125,388,,,,,,,
1000.0,33000,0.0,,,,,,16,0.0010632973113388288,0.7235144674777985,0.001,0.005289668217301369,1.0,0.04656446725130081
1000.0,34000,0.0,,,,,,,,,,,,
,34816,,84,1000.0,17,0.7323529411764705,413,,,,,,,
1000.0,35000,0.0,,,,,,17,0.0008610378039520583,0.7491655349731445,0.001,0.005268321838229895,1.0,0.04090786725282669
1000.0,36000,0.0,,,,,,,,,,,,
,36864,,84,1000.0,18,0.725,437,,,,,,,
1000.0,37000,0.0,,,,,,18,0.0006561086776855519,0.8399463295936584,0.001,0.00425381027162075,1.0,0.0554395467042923
1000.0,38000,0.0,,,,,,,,,,,,
,38912,,84,1000.0,19,0.7263157894736841,461,,,,,,,
1000.0,39000,0.0,,,,,,19,0.0008360523868759628,0.6373537480831146,0.001,0.005441962741315365,1.0,0.05252028629183769
1000.0,40000,0.0,,,,,,,,,,,,
,40960,,84,994.125,20,0.7324999999999999,485,,,,,,,
1000.0,41000,0.0,,,,,,20,0.0008424266839938355,0.8619712740182877,0.001,0.005560782738029957,1.0,0.04283256456255913
1000.0,42000,0.0,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,
,43008,,82,1000.0,21,0.741860465116279,520,,,,,,,
1000.0,44000,0.10000000149011612,,,,,,21,0.000614701949780283,0.8684627711772919,0.001,0.004931971430778503,1.0,0.042607855051755905
1000.0,45000,0.10000000149011612,,,,,,,,,,,,
,45056,,82,1000.0,22,0.7511111111111111,544,,,,,,,
1000.0,46000,0.10000000149011612,,,,,,22,0.0010138150841157768,0.841339722275734,0.001,0.006207523867487907,1.0,0.04194033518433571
1000.0,47000,0.10000000149011612,,,,,,,,,,,,
,47104,,82,1000.0,23,0.7446808510638298,568,,,,,,,
1000.0,48000,0.10000000149011612,,,,,,23,0.0005546890569803509,0.8835375905036926,0.001,0.0037458762526512146,1.0,0.04399455338716507
1000.0,49000,0.10000000149011612,,,,,,,,,,,,
,49152,,82,1000.0,24,0.7448979591836735,593,,,,,,,
1000.0,50000,0.10000000149011612,,,,,,24,0.001011938970623305,0.8655909150838852,0.001,0.004566038027405739,1.0,0.048234693706035614
1000.0,51000,0.10000000149011612,,,,,,,,,,,,
,51200,,82,1000.0,25,0.7450980392156863,617,,,,,,,
1000.0,52000,0.10000000149011612,,,,,,25,0.0005310125142386823,0.8170646280050278,0.001,0.0049414969980716705,1.0,0.04350573942065239
1000.0,53000,0.10000000149011612,,,,,,,,,,,,
,53248,,82,1000.0,26,0.7415094339622642,641,,,,,,,
1000.0,54000,0.10000000149011612,,,,,,26,0.00039161062913990464,0.8333763033151627,0.001,0.003957436420023441,1.0,0.050993554294109344
1000.0,55000,0.10000000149011612,,,,,,,,,,,,
,55296,,83,1000.0,27,0.7418181818181819,666,,,,,,,
1000.0,56000,0.10000000149011612,,,,,,27,0.00047769815482752166,0.9008219242095947,0.001,0.004677478224039078,1.0,0.05735567584633827
1000.0,57000,0.10000000149011612,,,,,,,,,,,,
,57344,,83,1000.0,28,0.7421052631578948,690,,,,,,,
1000.0,58000,0.10000000149011612,,,,,,28,0.0013619500979075382,0.742381364107132,0.001,0.005761441309005022,1.0,0.036135099828243256
1000.0,59000,0.10000000149011612,,,,,,,,,,,,
,59392,,83,1000.0,29,0.7423728813559323,714,,,,,,,
1000.0,60000,0.10000000149011612,,,,,,29,0.0008860021425789455,0.8758532479405403,0.001,0.005405894014984369,1.0,0.03775399178266525
1000.0,61000,0.10000000149011612,,,,,,,,,,,,
