eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
1000.0,1000,0.0,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,
,2048,,84,1000.0,1,0.5,24,,,,,,,
1000.0,3000,0.0,,,,,,1,0.011099067829491105,0.7079386711120605,0.001,0.004144301638007164,1.0,0.04061165452003479
1000.0,4000,0.0,,,,,,,,,,,,
,4096,,84,1000.0,2,0.55,48,,,,,,,
1000.0,5000,0.0,,,,,,2,0.008921262400690466,0.7324007153511047,0.001,0.005793144926428795,1.0,0.05130166560411453
1000.0,6000,0.0,,,,,,,,,,,,
,6144,,84,1000.0,3,0.5833333333333334,72,,,,,,,
1000.0,7000,0.10000000149011612,,,,,,3,0.0029308554396266116,0.8613188713788986,0.001,0.005695674568414688,1.0,0.04960574954748154
1000.0,8000,0.10000000149011612,,,,,,,,,,,,
,8192,,84,1000.0,4,0.6625,97,,,,,,,
1000.0,9000,0.0,,,,,,4,0.01162079197820276,0.5717833936214447,0.001,0.0052032386884093285,1.0,0.045098014175891876
1000.0,10000,0.0,,,,,,,,,,,,
,10240,,84,1000.0,5,0.6699999999999999,121,,,,,,,
1000.0,11000,0.0,,,,,,5,0.0037592530898109544,0.797148659825325,0.001,0.005712143611162901,1.0,0.040095239877700806
1000.0,12000,0.0,,,,,,,,,,,,
,12288,,84,1000.0,6,0.7000000000000001,145,,,,,,,
1000.0,13000,0.0,,,,,,6,0.005220501244184561,0.7818928360939026,0.001,0.00505774887278676,1.0,0.04293644428253174
1000.0,14000,0.0,,,,,,,,,,,,
,14336,,84,1000.0,7,0.7,169,,,,,,,
1000.0,15000,0.0,,,,,,7,0.0028892839596664998,0.8059200495481491,0.001,0.005674691870808601,1.0,0.04629787057638168
1000.0,16000,0.0,,,,,,,,,,,,
,16384,,84,1000.0,8,0.70625,194,,,,,,,
1000.0,17000,0.0,,,,,,8,0.0019935876749514136,0.8018680959939957,0.001,0.0054700602777302265,1.0,0.03788672387599945
1000.0,18000,0.0,,,,,,,,,,,,
,18432,,84,1000.0,9,0.7111111111111111,218,,,,,,,
1000.0,19000,0.10000000149011612,,,,,,9,0.0016739263744966592,0.6557012796401978,0.001,0.005675606429576874,1.0,0.048698991537094116
1000.0,20000,0.10000000149011612,,,,,,,,,,,,
,20480,,84,998.95,10,0.72,242,,,,,,,
1000.0,21000,0.0,,,,,,10,0.0014036523611139274,0.574040412902832,0.001,0.004511911887675524,1.0,0.04422228783369064
1000.0,22000,0.0,,,,,,,,,,,,
,22528,,84,1000.0,11,0.7181818181818183,267,,,,,,,
1000.0,23000,0.0,,,,,,11,0.0018876853799156379,0.8218121826648712,0.001,0.005861111916601658,1.0,0.03695441037416458
1000.0,24000,0.0,,,,,,,,,,,,
,24576,,84,1000.0,12,0.7208333333333333,291,,,,,,,
1000.0,25000,0.0,,,,,,12,0.0014071991807213635,0.4748525619506836,0.001,0.004660201724618673,1.0,0.046411607414484024
1000.0,26000,0.0,,,,,,,,,,,,
,26624,,84,1000.0,13,0.7307692307692307,315,,,,,,,
1000.0,27000,0.0,,,,,,13,0.0020098636359762168,0.678716778755188,0.001,0.005576298106461763,1.0,0.04296492040157318
1000.0,28000,0.0,,,,,,,,,,,,
,28672,,84,985.2068965517242,14,0.7379310344827585,340,,,,,,,
1000.0,29000,0.0,,,,,,14,0.001184815035594511,0.6450487077236176,0.001,0.0052267806604504585,1.0,0.0409853421151638
1000.0,30000,0.0,,,,,,,,,,,,
,30720,,84,1000.0,15,0.7466666666666666,364,,,,,,,
1000.0,31000,0.0,,,,,,15,0.0013263987415484736,0.8768036887049675,0.001,0.006540688686072826,1.0,0.041940558701753616
1000.0,32000,0.0,,,,,,,,,,,,
,32768,,84,1000.0,16,0.7406250000000001,388,,,,,,,
1000.0,33000,0.0,,,,,,16,0.0006293511134572328,0.5946016013622284,0.001,0.004867183044552803,1.0,0.05402868986129761
1000.0,34000,0.0,,,,,,,,,,,,
,34816,,84,1000.0,17,0.7411764705882353,412,,,,,,,
1000.0,35000,0.0,,,,,,17,0.000520217394341671,0.8261475116014481,0.001,0.004952957388013601,1.0,0.05316775292158127
1000.0,36000,0.0,,,,,,,,,,,,
,36864,,84,1000.0,18,0.7388888888888889,437,,,,,,,
1000.0,37000,0.0,,,,,,18,0.001008340589396539,0.8716333657503128,0.001,0.005477196536958218,1.0,0.044844575226306915
1000.0,38000,0.0,,,,,,,,,,,,
,38912,,84,996.6052631578947,19,0.7421052631578947,461,,,,,,,
1000.0,39000,0.0,,,,,,19,0.001180593038588995,0.89554712921381,0.001,0.005554495379328728,1.0,0.04356877878308296
1000.0,40000,0.0,,,,,,,,,,,,
,40960,,84,995.8536585365854,20,0.7609756097560976,485,,,,,,,
1000.0,41000,0.0,,,,,,20,0.0015309641476051183,0.8249372392892838,0.001,0.004901066888123751,1.0,0.04891267418861389
1000.0,42000,0.0,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,
,43008,,82,1000.0,21,0.7651162790697675,520,,,,,,,
1000.0,44000,0.0,,,,,,21,0.00044430799980546,0.8412276357412338,0.001,0.0037303848657757044,1.0,0.04547509551048279
1000.0,45000,0.0,,,,,,,,,,,,
,45056,,82,1000.0,22,0.7733333333333334,544,,,,,,,
1000.0,46000,0.0,,,,,,22,0.0008767018391154125,0.9221056774258614,0.001,0.005319505929946899,1.0,0.037450604140758514
1000.0,47000,0.0,,,,,,,,,,,,
,47104,,82,987.7659574468086,23,0.776595744680851,568,,,,,,,
1000.0,48000,0.0,,,,,,23,0.0008863333265253459,0.7956655323505402,0.001,0.005946948193013668,1.0,0.04337863624095917
1000.0,49000,0.0,,,,,,,,,,,,
,49152,,82,994.6326530612245,24,0.7918367346938775,593,,,,,,,
1000.0,50000,0.0,,,,,,24,0.0008136167552947882,0.7600892931222916,0.001,0.005966586992144585,1.0,0.04640159010887146
1000.0,51000,0.0,,,,,,,,,,,,
,51200,,82,1000.0,25,0.7980392156862745,617,,,,,,,
1000.0,52000,0.0,,,,,,25,0.000911870418167382,0.7035350799560547,0.001,0.004212379455566406,1.0,0.04349358379840851
1000.0,53000,0.0,,,,,,,,,,,,
,53248,,82,997.5849056603773,26,0.7981132075471697,641,,,,,,,
1000.0,54000,0.10000000149011612,,,,,,26,0.0009536020617815666,0.8723709136247635,0.001,0.004798636771738529,1.0,0.05407918617129326
1000.0,55000,0.10000000149011612,,,,,,,,,,,,
,55296,,83,1000.0,27,0.7963636363636363,665,,,,,,,
1000.0,56000,0.10000000149011612,,,,,,27,0.0006545278893099749,0.925623245537281,0.001,0.006334935314953327,1.0,0.03270932286977768
1000.0,57000,0.10000000149011612,,,,,,,,,,,,
,57344,,83,1000.0,28,0.7912280701754386,690,,,,,,,
1000.0,58000,0.10000000149011612,,,,,,28,0.0005542290136872907,0.8470247983932495,0.001,0.005240624770522118,1.0,0.0374821275472641
1000.0,59000,0.10000000149011612,,,,,,,,,,,,
,59392,,83,997.542372881356,29,0.7932203389830508,714,,,,,,,
1000.0,60000,0.10000000149011612,,,,,,29,0.0005464577275233751,0.8784750029444695,0.001,0.004644390195608139,1.0,0.045172788202762604
1000.0,61000,0.10000000149011612,,,,,,,,,,,,
,61440,,83,1000.0,30,0.7950819672131146,738,,,,,,,
