eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
,,40960,12.17,20,0,-1683717610063962112,0.9000000000000005,,,,,,,,,,
10.0,0.9,41000,,,,,,0.902099609375,0.0003,0.000333356904275206,0.2,400,375.64227,-0.05539010837674141,0.007168233394622803,-1.9325116127729416,-0.047422746519441714
10.0,0.9,42000,,,,,,,,,,,,,,,
10.0,0.9,43000,,,,,,,,,,,,,,,
,,43008,11.25,21,0,-1683717610063961856,0.9000000000000005,,,,,,,,,,
10.0,0.9,44000,,,,,,0.813623046875,0.0003,0.004009526072638892,0.2,420,67.63028,-0.07630264014005661,-0.0813363790512085,-1.5215609569102526,-0.001599895628169179
10.0,0.9,45000,,,,,,,,,,,,,,,
,,45056,10.95,22,0,-1683717610063961856,0.9000000000000005,,,,,,,,,,
10.0,0.9,46000,,,,,,0.651220703125,0.0003,0.0021274333153769474,0.2,440,73.57585,-0.0339488610625267,-0.05894362926483154,-1.0648031555116177,-0.022761508537223564
10.0,0.9,47000,,,,,,,,,,,,,,,
,,47104,10.8,23,0,-1683717610063961856,0.9000000000000005,,,,,,,,,,
10.0,0.9,48000,,,,,,0.523828125,0.0003,0.0010303343510543073,0.2,460,291.8843,-0.07690809667110443,-0.050252556800842285,-0.6921716905198991,-0.0342105356103275
10.0,0.9,49000,,,,,,,,,,,,,,,
,,49152,10.53,24,0,-1683717610063961856,0.9000000000000005,,,,,,,,,,
10.0,0.9,50000,,,,,,0.32509765625,0.0003,0.0024331404599593045,0.2,480,33.56971,-0.0805610716342926,-0.12482583522796631,-0.4683620590250939,-0.055307866760995236
10.0,0.9,51000,,,,,,,,,,,,,,,
,,51200,10.83,25,0,-1683717610063961856,0.9000000000000005,,,,,,,,,,
