eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/policy_objective
50.0,1000,0.0,,,,,,,,,,,,
50.0,2000,0.0,,,,,,,,,,,,
,2048,,20,50.0,1,0.0925,102,,,,,,,
50.0,3000,0.0,,,,,,1,0.03777685872046277,-0.12115788459777832,0.001,0.006865751929581165,1.0,0.02822963148355484
50.0,4000,0.0,,,,,,,,,,,,
,4096,,20,50.0,2,0.09135802469135802,204,,,,,,,
50.0,5000,0.10000000149011612,,,,,,2,0.008686652436153963,-0.5012811422348022,0.001,0.005695494823157787,1.0,0.033299520611763
50.0,6000,0.10000000149011612,,,,,,,,,,,,
,6144,,20,50.0,3,0.098,306,,,,,,,
50.0,7000,0.10000000149011612,,,,,,3,0.003694280787021853,-0.6694676876068115,0.001,0.007282503414899111,1.0,0.028393935412168503
50.0,8000,0.10000000149011612,,,,,,,,,,,,
,8192,,20,49.81,4,0.11299999999999999,408,,,,,,,
50.0,9000,0.10000000149011612,,,,,,4,0.0019970593300968177,-0.35257136821746826,0.001,0.007688947021961212,1.0,0.022099008783698082
50.0,10000,0.10000000149011612,,,,,,,,,,,,
,10240,,20,50.0,5,0.10999999999999999,510,,,,,,,
50.0,11000,0.10000000149011612,,,,,,5,0.001327203539403854,0.25939416885375977,0.001,0.007793271914124489,1.0,0.022264817729592323
50.0,12000,0.10000000149011612,,,,,,,,,,,,
,12288,,20,50.0,6,0.121,613,,,,,,,
50.0,13000,0.10000000149011612,,,,,,6,0.001003637697067461,0.5001796185970306,0.001,0.00811397098004818,1.0,0.0258626751601696
50.0,14000,0.10000000149011612,,,,,,,,,,,,
,14336,,20,50.0,7,0.13699999999999998,715,,,,,,,
50.0,15000,0.10000000149011612,,,,,,7,0.0013714694050577236,0.4929618835449219,0.001,0.007744662929326296,1.0,0.027818813920021057
50.0,16000,0.10000000149011612,,,,,,,,,,,,
,16384,,20,50.0,8,0.145,817,,,,,,,
50.0,17000,0.10000000149011612,,,,,,8,0.0013754904164670733,0.4686490297317505,0.001,0.006953734904527664,1.0,0.030271146446466446
50.0,18000,0.10000000149011612,,,,,,,,,,,,
,18432,,20,50.0,9,0.139,919,,,,,,,
50.0,19000,0.10000000149011612,,,,,,9,0.0014352877835335676,0.44593238830566406,0.001,0.007505064830183983,1.0,0.02347097173333168
50.0,20000,0.10000000149011612,,,,,,,,,,,,
,20480,,20,50.0,10,0.161,1021,,,,,,,
