eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/n_updates
10.0,0.9,41000,,,,,,0.0034061153633274444,74.81316,-0.041069133405108,0.7731788158416748,0.62314453125,-1.1208267161622643,-0.0984187126159668,0.0003,0.2,400
10.0,0.9,42000,,,,,,,,,,,,,,,
10.0,0.9,43000,,,,,,,,,,,,,,,
,,43008,11.04,21,-1683717608645155840,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,44000,,,,,,0.003415258834843371,73.59216,-0.03574111857742537,-0.03245088458061218,0.59912109375,-1.1177908785641193,-0.11361384391784668,0.0003,0.2,420
10.0,0.9,45000,,,,,,,,,,,,,,,
,,45056,11.28,22,-1683717608645155840,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,46000,,,,,,0.002916541456534105,153.50874,-0.041512834691093306,-0.024713214486837387,0.592919921875,-0.9941889364272356,-0.13583779335021973,0.0003,0.2,440
10.0,0.9,47000,,,,,,,,,,,,,,,
,,47104,10.77,23,-1683717608645155840,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,48000,,,,,,0.002141250649083304,139.54855,-0.04133668860595208,-0.039267055690288544,0.580517578125,-0.8965183846652508,-0.07224082946777344,0.0003,0.2,460
10.0,0.9,49000,,,,,,,,,,,,,,,
,,49152,10.77,24,-1683717608645155840,0,0.9000000000000005,,,,,,,,,,
10.0,0.9,50000,,,,,,0.002316863628141164,52.64545,-0.03036359914112836,-0.0503186397254467,0.58876953125,-0.9523625707253813,-0.022896289825439453,0.0003,0.2,480
10.0,0.9,51000,,,,,,,,,,,,,,,
,,51200,11.51,25,-1683717608645155840,0,0.9000000000000005,,,,,,,,,,
