eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss
1000.0,1000,0.0,,,,,,,,,,,,,,,
1000.0,2000,0.0,,,,,,,,,,,,,,,
,2048,,84,1000.0,1,0.7,24,,,,,,,,,,
1000.0,3000,0.0,,,,,,10,-0.04483594000339508,0.0089636817065184,0.8636085242033005,0.0003,0.12451171875,0.2,-0.02307654395408463,0.0145066045,-6.5414015963673595
1000.0,4000,0.0,,,,,,,,,,,,,,,
,4096,,82,1000.0,2,0.6749999999999999,49,,,,,,,,,,
1000.0,5000,0.0,,,,,,20,-0.03307388722896576,0.004148652283038246,0.645583838224411,0.0003,0.15830078125,0.2,-0.02216112480382435,0.014497065,-6.526531203091144
1000.0,6000,0.0,,,,,,,,,,,,,,,
,6144,,82,1000.0,3,0.7166666666666667,74,,,,,,,,,,
1000.0,7000,0.0,,,,,,30,-0.03267703950405121,0.0037657944867532933,0.7297557592391968,0.0003,0.161474609375,0.2,-0.025240784307243302,0.015417937,-6.515613152086734
1000.0,8000,0.0,,,,,,,,,,,,,,,
,8192,,81,967.5,4,0.7375,100,,,,,,,,,,
1000.0,9000,0.0,,,,,,40,-0.02665785886347294,0.0056858555977669315,0.8515557646751404,0.0003,0.19033203125,0.2,-0.03495280151546467,0.017995372,-6.502641254663468
1000.0,10000,0.0,,,,,,,,,,,,,,,
,10240,,81,1000.0,5,0.7500000000000001,125,,,,,,,,,,
1000.0,11000,0.0,,,,,,50,-0.033157337456941605,0.003552781747202971,0.6714924275875092,0.0003,0.183154296875,0.2,-0.028249765650252813,0.016680604,-6.488042417168617
1000.0,12000,0.0,,,,,,,,,,,,,,,
,12288,,81,997.8333333333334,6,0.7583333333333334,150,,,,,,,,,,
1000.0,13000,0.0,,,,,,60,-0.014764973893761635,0.002106347745302628,0.8582582473754883,0.0003,0.181103515625,0.2,-0.02677429118193686,0.016688928,-6.465032607316971
1000.0,14000,0.0,,,,,,,,,,,,,,,
,14336,,81,1000.0,7,0.8,175,,,,,,,,,,
1000.0,15000,0.0,,,,,,70,-0.04077679291367531,0.003661117989940976,0.7287528216838837,0.0003,0.180908203125,0.2,-0.028593445775914005,0.016850453,-6.441609466075898
1000.0,16000,0.0,,,,,,,,,,,,,,,
,16384,,81,1000.0,8,0.7937500000000001,201,,,,,,,,,,
1000.0,17000,0.0,,,,,,80,-0.011562919244170189,0.0021542722675803815,0.8684001713991165,0.0003,0.21005859375,0.2,-0.03487465856014751,0.020180551,-6.441681203246117
1000.0,18000,0.0,,,,,,,,,,,,,,,
,18432,,81,982.5,9,0.788888888888889,226,,,,,,,,,,
1000.0,19000,0.0,,,,,,90,-0.03189132362604141,0.002211286848250893,0.9016679674386978,0.0003,0.1826171875,0.2,-0.031127849701442757,0.01743522,-6.427090281248093
1000.0,20000,0.0,,,,,,,,,,,,,,,
,20480,,81,983.65,10,0.8099999999999999,252,,,,,,,,,,
1000.0,21000,0.0,,,,,,100,-0.06519269198179245,0.0016828932790303951,0.6431576311588287,0.0003,0.2015625,0.2,-0.03145474210032262,0.019837495,-6.425191795825958
1000.0,22000,0.0,,,,,,,,,,,,,,,
,22528,,81,991.3181818181819,11,0.8272727272727273,277,,,,,,,,,,
1000.0,23000,0.0,,,,,,110,-0.023925894871354103,0.002319868503127509,0.9200903624296188,0.0003,0.17607421875,0.2,-0.023243398623890243,0.01884795,-6.362220408022404
1000.0,24000,0.0,,,,,,,,,,,,,,,
,24576,,81,1000.0,12,0.8166666666666668,302,,,,,,,,,,
1000.0,25000,0.0,,,,,,120,-0.01772620901465416,0.0018119928747182712,0.6450580656528473,0.0003,0.1470703125,0.2,-0.022920659967348912,0.013657356,-6.39276551604271
1000.0,26000,0.0,,,,,,,,,,,,,,,
,26624,,81,1000.0,13,0.8076923076923078,328,,,,,,,,,,
1000.0,27000,0.0,,,,,,130,-0.045458730310201645,0.0012125231338359298,0.889794684946537,0.0003,0.21083984375,0.2,-0.02714878681290429,0.019999627,-6.3893133968114855
1000.0,28000,0.0,,,,,,,,,,,,,,,
,28672,,81,1000.0,14,0.8035714285714287,353,,,,,,,,,,
1000.0,29000,0.0,,,,,,140,-0.05140984058380127,0.0007172152605562587,0.8022085577249527,0.0003,0.18330078125,0.2,-0.02777690390503267,0.014960035,-6.371326039731502
1000.0,30000,0.0,,,,,,,,,,,,,,,
,30720,,81,1000.0,15,0.7900000000000001,378,,,,,,,,,,
1000.0,31000,0.0,,,,,,150,-0.0836835503578186,0.0005246215187753478,0.8898627758026123,0.0003,0.175244140625,0.2,-0.02696011734951753,0.016240487,-6.371548593044281
1000.0,32000,0.0,,,,,,,,,,,,,,,
,32768,,81,1000.0,16,0.78125,403,,,,,,,,,,
1000.0,33000,0.0,,,,,,160,-0.02588273584842682,0.0010150180995879055,0.8478228002786636,0.0003,0.191064453125,0.2,-0.026229434271226638,0.016393375,-6.316291625797748
1000.0,34000,0.0,,,,,,,,,,,,,,,
,34816,,81,1000.0,17,0.7764705882352941,429,,,,,,,,,,
1000.0,35000,0.0,,,,,,170,-0.020893260836601257,0.0005854212254462254,0.860161080956459,0.0003,0.1375,0.2,-0.023851616424508393,0.013529874,-6.354546818137169
1000.0,36000,0.0,,,,,,,,,,,,,,,
,36864,,81,1000.0,18,0.775,454,,,,,,,,,,
1000.0,37000,0.0,,,,,,180,-0.023927539587020874,0.0016707611477613682,0.8036194443702698,0.0003,0.14794921875,0.2,-0.026324750771163963,0.013590911,-6.341979660093784
1000.0,38000,0.0,,,,,,,,,,,,,,,
,38912,,81,1000.0,19,0.7657894736842106,479,,,,,,,,,,
1000.0,39000,0.0,,,,,,190,-0.010639860294759274,0.0019402177701522306,0.7501143664121628,0.0003,0.18056640625,0.2,-0.02649557462282246,0.01719841,-6.3181203082203865
1000.0,40000,0.0,,,,,,,,,,,,,,,
,40960,,81,1000.0,20,0.76,505,,,,,,,,,,
1000.0,41000,0.0,,,,,,200,-0.03447461128234863,0.0012978672315512086,0.8055116832256317,0.0003,0.185107421875,0.2,-0.02312709705438465,0.01589159,-6.282339833676815
1000.0,42000,0.0,,,,,,,,,,,,,,,
1000.0,43000,0.0,,,,,,,,,,,,,,,
,43008,,79,1000.0,21,0.7534883720930232,540,,,,,,,,,,
1000.0,44000,0.0,,,,,,210,-0.06183047592639923,0.0019363259344572724,0.7510133981704712,0.0003,0.195068359375,0.2,-0.027725860165082848,0.018671976,-6.320698317885399
1000.0,45000,0.0,,,,,,,,,,,,,,,
,45056,,79,1000.0,22,0.7444444444444445,565,,,,,,,,,,
1000.0,46000,0.10000000149011612,,,,,,220,-0.042924050241708755,0.00035410531220350097,0.8919997811317444,0.0003,0.20556640625,0.2,-0.023646431823726742,0.018098446,-6.310375821590424
1000.0,47000,0.10000000149011612,,,,,,,,,,,,,,,
,47104,,79,1000.0,23,0.7425531914893618,591,,,,,,,,,,
1000.0,48000,0.10000000149011612,,,,,,230,-0.036050960421562195,0.0008437895621682401,0.8990522250533104,0.0003,0.190234375,0.2,-0.030263545209891163,0.015638176,-6.245135608315468
1000.0,49000,0.10000000149011612,,,,,,,,,,,,,,,
,49152,,79,1000.0,24,0.7448979591836735,616,,,,,,,,,,
