eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates
0.1,1000,50.0,,,,,,,,,,,,,,,
0.1,2000,50.0,,,,,,,,,,,,,,,
,2048,,0,-1683715400181890304,1,15.45,0.3999999999999999,,,,,,,,,,
0.0,3000,50.0,,,,,,-0.10930737463058904,-0.14338910579681396,0.2,0.0003,-5.123159451782703,-3.8851776123046875,0.51455078125,0.009186705766478554,0.030041225,20
0.0,4000,50.0,,,,,,,,,,,,,,,
,4096,,0,-1683715400181890304,2,13.68,0.3999999999999999,,,,,,,,,,
0.2,5000,50.0,,,,,,-0.021764870153856464,-0.04759036377072334,0.2,0.0003,-5.10324772298336,-0.11447763442993164,0.5892578125,0.0006368513465645264,0.13856739,40
0.2,6000,50.0,,,,,,,,,,,,,,,
,6144,,0,-1683715400181890048,3,18.74,0.3999999999999999,,,,,,,,,,
0.2,7000,50.0,,,,,,-0.02123516943247523,-0.06843327730894089,0.2,0.0003,-5.083992563188076,-0.23084306716918945,0.648583984375,0.0005465880864903739,0.19134662,60
0.2,8000,50.0,,,,,,,,,,,,,,,
,8192,,0,-1683715400181890048,4,21.67,0.39599999999999996,,,,,,,,,,
0.2,9000,50.0,,,,,,-0.01797868763678707,0.0860612615942955,0.2,0.0003,-5.1015634194016455,-0.5372129678726196,0.69189453125,0.0004419689137648675,0.25189167,80
0.2,10000,50.0,,,,,,,,,,,,,,,
,10240,,0,-1683715400181890048,5,15.07,0.3999999999999999,,,,,,,,,,
0.3,11000,50.0,,,,,,-0.0193305782857351,-0.05142040178179741,0.2,0.0003,-5.075980341434478,-0.6925630569458008,0.748095703125,0.0008239763518758991,0.43147612,100
0.3,12000,50.0,,,,,,,,,,,,,,,
,12288,,0,-1683715400181889792,6,11.86,0.3999999999999999,,,,,,,,,,
0.4,13000,5.0,,,,,,-0.025053421140182764,0.5909651517868042,0.2,0.0003,-4.941164538264275,-0.5479061603546143,0.8337890625,0.0004787313296446882,1.1406238,120
0.4,14000,5.0,,,,,,,,,,,,,,,
,14336,,0,-1683715400181889792,7,8.25,0.3999999999999999,,,,,,,,,,
0.4,15000,5.0,,,,,,-0.004305292046046816,-0.12019900232553482,0.2,0.0003,-4.249994081258774,-0.5393997430801392,0.918701171875,0.000493926499234476,7.306537,140
0.4,16000,5.0,,,,,,,,,,,,,,,
,16384,,0,-1683715400181889792,8,8.11,0.3999999999999999,,,,,,,,,,
0.4,17000,5.0,,,,,,-0.02042429864523001,-0.11004770547151566,0.2,0.0003,-3.577319583296776,-0.7397842407226562,0.952099609375,0.0005777773403906394,10.462435,160
0.4,18000,5.0,,,,,,,,,,,,,,,
,18432,,0,-1683715400181889536,9,7.95,0.3999999999999999,,,,,,,,,,
0.4,19000,5.0,,,,,,0.010328787501202896,-0.0816430151462555,0.2,0.0003,-2.767753078043461,-0.7124747037887573,0.956591796875,0.0006237939202037524,31.375824,180
0.4,20000,5.0,,,,,,,,,,,,,,,
,20480,,0,-1683715400181889536,10,10.19,0.3999999999999999,,,,,,,,,,
0.4,21000,5.0,,,,,,-0.05782385150087066,-0.10188843309879303,0.2,0.0003,-1.8110248651355505,-0.9023723602294922,0.9638671875,0.0005850330308476259,49.122234,200
0.4,22000,5.0,,,,,,,,,,,,,,,
,22528,,0,-1683715400181889536,11,6.58,0.3999999999999999,,,,,,,,,,
0.4,23000,5.0,,,,,,0.031301466369768605,-0.11750821769237518,0.2,0.0003,-1.0633758187294007,-0.7404050827026367,0.756396484375,0.0002793901550546707,60.02487,220
0.4,24000,5.0,,,,,,,,,,,,,,,
,24576,,0,-1683715400181889280,12,6.49,0.3999999999999999,,,,,,,,,,
0.4,25000,5.0,,,,,,-0.05058084320044145,-0.051804106682538986,0.2,0.0003,-0.768092205002904,-0.5720824003219604,0.7564453125,0.00028587592139501795,14.036003,240
0.4,26000,5.0,,,,,,,,,,,,,,,
,26624,,0,-1683715400181889280,13,5.82,0.3999999999999999,,,,,,,,,,
0.4,27000,5.0,,,,,,-0.010303870448842645,-0.028299503028392792,0.2,0.0003,-1.2457392621785401,-0.8813869953155518,0.826904296875,0.00017669804254580868,12.561027,260
0.4,28000,5.0,,,,,,,,,,,,,,,
,28672,,0,-1683715400181889280,14,6.2,0.3999999999999999,,,,,,,,,,
0.4,29000,5.0,,,,,,-0.0149179953354178,-0.03226185217499733,0.2,0.0003,-0.9896298095583915,-0.9828845262527466,0.8896484375,0.00022652539653336134,21.055105,280
0.4,30000,5.0,,,,,,,,,,,,,,,
,30720,,0,-1683715400181889024,15,5.55,0.3999999999999999,,,,,,,,,,
0.4,31000,5.0,,,,,,0.00461127376765944,0.032299529761075974,0.2,0.0003,-0.7235879942774772,-0.7882248163223267,0.846923828125,3.9249305604016624e-05,24.639637,300
0.4,32000,5.0,,,,,,,,,,,,,,,
