eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction
50.0,0.10000000149011612,41000,,,,,,-4.1066431209445,-0.021991131742834114,0.828535407781601,-0.030901994556188583,0.0003,0.2,0.019734614,200,0.0013591976299721863,0.215966796875
50.0,0.10000000149011612,42000,,,,,,,,,,,,,,,
50.0,0.10000000149011612,43000,,,,,,,,,,,,,,,
,,43008,31.57,2206,0.3819999999999999,19,21,,,,,,,,,,
50.0,0.10000000149011612,44000,,,,,,-3.9969650194048882,-0.018155447053140962,0.7360744178295135,-0.025296488776803017,0.0003,0.2,0.01627547,210,0.002543170148055651,0.208447265625
50.0,0.10000000149011612,45000,,,,,,,,,,,,,,,
,,45056,29.41,2307,0.38199999999999995,19,22,,,,,,,,,,
50.0,0.10000000149011612,46000,,,,,,-3.850039391964674,-0.02411343649000628,0.9054080173373222,-0.05311216413974762,0.0003,0.2,0.027677014,220,0.000829487620103464,0.2697265625
50.0,0.10000000149011612,47000,,,,,,,,,,,,,,,
,,47104,25.67,2408,0.39599999999999996,19,23,,,,,,,,,,
50.0,0.10000000149011612,48000,,,,,,-3.6693000122904778,-0.019816297900979406,0.9075274839997292,-0.004382669925689697,0.0003,0.2,0.018534623,230,0.0009786261294266296,0.218994140625
50.0,0.10000000149011612,49000,,,,,,,,,,,,,,,
,,49152,21.5,2509,0.4019999999999999,19,24,,,,,,,,,,
50.0,0.10000000149011612,50000,,,,,,-3.413362541794777,-0.02762822895310819,0.9574430547654629,-0.01389362383633852,0.0003,0.2,0.021044182,240,0.00037530418621827265,0.28828125
50.0,0.10000000149011612,51000,,,,,,,,,,,,,,,
,,51200,17.39,2609,0.4,19,25,,,,,,,,,,
50.0,0.10000000149011612,52000,,,,,,-3.236405972391367,-0.024921240087132902,0.9759268201887608,-0.023310242220759392,0.0003,0.2,0.021697111,250,0.00023338107089330152,0.232666015625
50.0,0.10000000149011612,53000,,,,,,,,,,,,,,,
,,53248,15.9,2708,0.40299999999999997,19,26,,,,,,,,,,
4.0,0.4000000059604645,54000,,,,,,-3.0121201179921626,-0.02055988604261074,0.9633804745972157,-0.011820608749985695,0.0003,0.2,0.019782651,260,0.0004436256545204742,0.244140625
4.0,0.4000000059604645,55000,,,,,,,,,,,,,,,
,,55296,14.52,2789,0.4039999999999999,19,27,,,,,,,,,,
4.0,0.4000000059604645,56000,,,,,,-2.7758086398243904,-0.03110587813425809,0.9720657095313072,-0.08109904825687408,0.0003,0.2,0.02005912,270,0.0002736928918693593,0.29921875
4.0,0.4000000059604645,57000,,,,,,,,,,,,,,,
,,57344,13.07,2868,0.40099999999999997,19,28,,,,,,,,,,
4.0,0.4000000059604645,58000,,,,,,-2.5546150997281076,-0.0360339382343227,0.9836278632283211,0.005535848904401064,0.0003,0.2,0.031359278,280,0.000111160366338936,0.36416015625
4.0,0.4000000059604645,59000,,,,,,,,,,,,,,,
,,59392,9.14,2946,0.40099999999999997,20,29,,,,,,,,,,
4.0,0.4000000059604645,60000,,,,,,-2.220819786936045,-0.02931932401843369,0.9833523593842983,-0.027152035385370255,0.0003,0.2,0.017092422,290,0.00019242461814883427,0.268359375
4.0,0.4000000059604645,61000,,,,,,,,,,,,,,,
,,61440,8.09,3023,0.40299999999999997,20,30,,,,,,,,,,
4.0,0.4000000059604645,62000,,,,,,-2.01208905801177,-0.03872234427253716,0.9680673219263554,-0.044122278690338135,0.0003,0.2,0.027996676,300,0.00047266469766782393,0.35771484375
4.0,0.4000000059604645,63000,,,,,,,,,,,,,,,
,,63488,7.48,3098,0.40099999999999997,20,31,,,,,,,,,,
4.0,0.4000000059604645,64000,,,,,,-1.7353612512350083,-0.04239480400865432,0.989379309117794,-0.039175763726234436,0.0003,0.2,0.02315458,310,4.480311370969048e-05,0.318310546875
4.0,0.4000000059604645,65000,,,,,,,,,,,,,,,
,,65536,6.76,3172,0.40099999999999997,20,32,,,,,,,,,,
4.0,0.4000000059604645,66000,,,,,,-1.3156777001917361,-0.06028765933006071,0.9954333174973726,-0.11981355398893356,0.0003,0.2,0.043366574,320,5.513679138431371e-05,0.467578125
4.0,0.4000000059604645,67000,,,,,,,,,,,,,,,
,,67584,5.53,3244,0.3999999999999999,20,33,,,,,,,,,,
4.0,0.4000000059604645,68000,,,,,,-1.0304178435355424,-0.046936576551524924,0.9924257169477642,-0.05007161945104599,0.0003,0.2,0.018245148,330,8.840485908621077e-05,0.292236328125
4.0,0.4000000059604645,69000,,,,,,,,,,,,,,,
,,69632,5.14,3314,0.3999999999999999,21,34,,,,,,,,,,
4.0,0.4000000059604645,70000,,,,,,-0.6394526058807969,-0.06768320880946703,0.9979395074769855,-0.10381929576396942,0.0003,0.2,0.09895955,340,2.110649747635307e-05,0.322021484375
4.0,0.4000000059604645,71000,,,,,,,,,,,,,,,
,,71680,4.34,3382,0.3999999999999999,21,35,,,,,,,,,,
4.0,0.4000000059604645,72000,,,,,,-0.5071845712140203,-0.017644712797482497,0.9852167330682278,-0.030967282131314278,0.0003,0.2,0.016144557,350,0.00017340148997391225,0.06533203125
4.0,0.4000000059604645,73000,,,,,,,,,,,,,,,
,,73728,4.3,3451,0.3999999999999999,21,36,,,,,,,,,,
4.0,0.4000000059604645,74000,,,,,,-0.3085220360662788,-0.014962241296598223,0.9902332425117493,-0.03329829126596451,0.0003,0.2,0.038590483,360,6.48081721477567e-05,0.045068359375
4.0,0.4000000059604645,75000,,,,,,,,,,,,,,,
,,75776,4.18,3519,0.3999999999999999,21,37,,,,,,,,,,
4.0,0.4000000059604645,76000,,,,,,-0.24473683792166412,-0.03751783636398613,0.9997569071565522,-0.08695432543754578,0.0003,0.2,0.044899188,370,8.548533890373466e-07,0.09150390625
4.0,0.4000000059604645,77000,,,,,,,,,,,,,,,
,,77824,4.93,3588,0.3999999999999999,21,38,,,,,,,,,,
4.0,0.4000000059604645,78000,,,,,,-0.29722092151641843,-0.05388730929698795,0.9999092447396833,-0.06398950517177582,0.0003,0.2,0.038948584,380,1.3652275771214307e-06,0.354052734375
4.0,0.4000000059604645,79000,,,,,,,,,,,,,,,
,,79872,4.26,3657,0.3999999999999999,21,39,,,,,,,,,,
4.0,0.4000000059604645,80000,,,,,,-0.13246177572291346,-0.03934368354966864,0.9985679651144892,-0.04857778921723366,0.0003,0.2,0.056102116,390,2.768029290862728e-05,0.250146484375
4.0,0.4000000059604645,81000,,,,,,,,,,,,,,,
,,81920,4.06,3725,0.3999999999999999,21,40,,,,,,,,,,
4.0,0.4000000059604645,82000,,,,,,-0.19897750685922802,-0.02876927461766172,0.994913472328335,-0.06289442628622055,0.0003,0.2,0.03541881,400,6.415041085956474e-05,0.11123046875
4.0,0.4000000059604645,83000,,,,,,,,,,,,,,,
